,game_id,season,week,home_team,away_team,home_score,score_diff,score_total,away_score,home_team_win,ewma_dynamic_window_rushing_offense_home,ewma_dynamic_window_passing_offense_home,ewma_dynamic_window_rushing_defense_home,ewma_dynamic_window_passing_defense_home,ewma_dynamic_window_rushing_offense_away,ewma_dynamic_window_passing_offense_away,ewma_dynamic_window_rushing_defense_away,ewma_dynamic_window_passing_defense_away
0,2018_01_ATL_PHI,2018,1,PHI,ATL,18,6,30,12,1,,,,,,,,
1,2018_01_BUF_BAL,2018,1,BAL,BUF,47,44,50,3,1,,,,,,,,
2,2018_01_CHI_GB,2018,1,GB,CHI,24,1,47,23,1,,,,,,,,
3,2018_01_CIN_IND,2018,1,IND,CIN,23,-11,57,34,0,,,,,,,,
4,2018_01_DAL_CAR,2018,1,CAR,DAL,16,8,24,8,1,,,,,,,,
5,2018_01_HOU_NE,2018,1,NE,HOU,27,7,47,20,1,,,,,,,,
6,2018_01_JAX_NYG,2018,1,NYG,JAX,15,-5,35,20,0,,,,,,,,
7,2018_01_KC_LAC,2018,1,LAC,KC,28,-10,66,38,0,,,,,,,,
8,2018_01_LA_OAK,2018,1,LV,LA,13,-20,46,33,0,,,,,,,,
9,2018_01_NYJ_DET,2018,1,DET,NYJ,17,-31,65,48,0,,,,,,,,
10,2018_01_PIT_CLE,2018,1,CLE,PIT,21,0,42,21,0,,,,,,,,
11,2018_01_SEA_DEN,2018,1,DEN,SEA,27,3,51,24,1,,,,,,,,
12,2018_01_SF_MIN,2018,1,MIN,SF,24,8,40,16,1,,,,,,,,
13,2018_01_TB_NO,2018,1,NO,TB,40,-8,88,48,0,,,,,,,,
14,2018_01_TEN_MIA,2018,1,MIA,TEN,27,7,47,20,1,,,,,,,,
15,2018_01_WAS_ARI,2018,1,ARI,WAS,6,-18,30,24,0,,,,,,,,
16,2018_02_ARI_LA,2018,2,LA,ARI,34,34,34,0,1,0.10054183751344681,0.16108594834804535,0.0014269533567130566,-0.30851754546165466,0.179391548037529,-0.40088269114494324,0.06392271816730499,0.29781675338745117
17,2018_02_BAL_CIN,2018,2,CIN,BAL,34,11,57,23,1,0.1768380105495453,-0.08864094316959381,-0.20494729280471802,-0.04705274477601051,-0.109379343688488,0.17411749064922333,-0.5401291251182556,-0.7144659161567688
18,2018_02_CAR_ATL,2018,2,ATL,CAR,31,7,55,24,1,-0.14658385515213013,-0.2559112012386322,0.14146219193935394,-0.25907763838768005,-0.17348931729793549,-0.02313675358891487,0.05464494600892067,-0.2560005784034729
19,2018_02_CLE_NO,2018,2,NO,CLE,21,3,39,18,1,-0.41986528038978577,0.3766620457172394,-0.09793640673160553,1.0418013334274292,0.14306509494781494,-0.3931439518928528,-0.14689603447914124,-0.14861047267913818
20,2018_02_DET_SF,2018,2,SF,DET,30,3,57,27,1,-0.3436596393585205,-0.37634944915771484,-0.43711328506469727,0.0051576909609138966,-0.2274845987558365,-0.4571130573749542,-0.16928082704544067,0.3166912794113159
21,2018_02_HOU_TEN,2018,2,TEN,HOU,20,3,37,17,1,-0.004962090868502855,-0.5082704424858093,-0.12258611619472504,0.012086727656424046,-0.07023237645626068,-0.2570223808288574,-0.12110976874828339,0.07128210365772247
22,2018_02_IND_WAS,2018,2,WAS,IND,9,-12,30,21,0,0.06392271816730499,0.29781675338745117,0.179391548037529,-0.40088269114494324,-0.20494729280471802,-0.04705274477601051,0.1768380105495453,-0.08864094316959381
23,2018_02_KC_PIT,2018,2,PIT,KC,37,-5,79,42,0,-0.14689603447914124,-0.14861047267913818,0.14306509494781494,-0.3931439518928528,-0.04631158709526062,0.45543256402015686,0.11799616366624832,0.29848065972328186
24,2018_02_LAC_BUF,2018,2,BUF,LAC,20,-11,51,31,0,-0.5401291251182556,-0.7144659161567688,-0.109379343688488,0.17411749064922333,0.11799616366624832,0.29848065972328186,-0.04631158709526062,0.45543256402015686
