,index,game_id,line
0,2561,2018_01_ATL_PHI,0.0
1,2562,2018_01_BUF_BAL,-7.5
2,2587,2018_01_CHI_GB,-7.5
3,2567,2018_01_CIN_IND,-3.0
4,2582,2018_01_DAL_CAR,-3.0
5,2573,2018_01_HOU_NE,-6.5
6,2577,2018_01_JAX_NYG,3.0
7,2579,2018_01_KC_LAC,-3.5
8,2591,2018_01_LA_OAK,4.0
9,2588,2018_01_NYJ_DET,-6.5
10,2564,2018_01_PIT_CLE,3.5
11,2584,2018_01_SEA_DEN,-3.0
12,2570,2018_01_SF_MIN,-6.5
13,2574,2018_01_TB_NO,-9.5
14,2568,2018_01_TEN_MIA,1.5
15,2580,2018_01_WAS_ARI,-1.0
16,2613,2018_02_ARI_LA,-12.5
17,2593,2018_02_BAL_CIN,0.0
18,2594,2018_02_CAR_ATL,-6.0
19,2601,2018_02_CLE_NO,-8.5
20,2615,2018_02_DET_SF,-6.0
21,2609,2018_02_HOU_TEN,0.0
22,2611,2018_02_IND_WAS,-6.0
23,2605,2018_02_KC_PIT,-4.0
24,2596,2018_02_LAC_BUF,7.0
25,2603,2018_02_MIA_NYJ,-2.5
26,2598,2018_02_MIN_GB,7.0
27,2618,2018_02_NE_JAX,1.0
28,2620,2018_02_NYG_DAL,-3.0
29,2616,2018_02_OAK_DEN,-6.0
30,2607,2018_02_PHI_TB,3.5
31,2622,2018_02_SEA_CHI,-3.5
32,2641,2018_03_BUF_MIN,-16.5
33,2648,2018_03_CHI_ARI,6.0
34,2630,2018_03_CIN_CAR,-3.0
35,2651,2018_03_DAL_SEA,-2.0
36,2628,2018_03_DEN_BAL,-5.5
37,2645,2018_03_GB_WAS,2.5
38,2643,2018_03_IND_PHI,-6.5
39,2646,2018_03_LAC_LA,-7.0
40,2652,2018_03_NE_DET,7.0
41,2626,2018_03_NO_ATL,-3.0
42,2632,2018_03_NYG_HOU,-6.5
43,2624,2018_03_NYJ_CLE,-3.0
44,2638,2018_03_OAK_MIA,-3.0
45,2655,2018_03_PIT_TB,1.0
46,2636,2018_03_SF_KC,-6.5
47,2634,2018_03_TEN_JAX,-9.5
48,2683,2018_04_BAL_PIT,-3.0
49,2665,2018_04_BUF_GB,-9.5
50,2658,2018_04_CIN_ATL,-5.0
51,2677,2018_04_CLE_OAK,-2.5
52,2662,2018_04_DET_DAL,-3.0
53,2667,2018_04_HOU_IND,-1.0
54,2684,2018_04_KC_DEN,5.0
55,2671,2018_04_MIA_NE,-6.5
56,2656,2018_04_MIN_LA,-7.0
57,2681,2018_04_NO_NYG,3.5
58,2668,2018_04_NYJ_JAX,-7.5
59,2673,2018_04_PHI_TEN,4.0
60,2674,2018_04_SEA_ARI,3.0
61,2678,2018_04_SF_LAC,-10.0
62,2660,2018_04_TB_CHI,-3.0
63,2709,2018_05_ARI_SF,-4.0
64,2703,2018_05_ATL_PIT,-3.0
65,2695,2018_05_BAL_CLE,3.0
66,2713,2018_05_DAL_HOU,-3.0
67,2701,2018_05_DEN_NYJ,-1.0
68,2696,2018_05_GB_DET,1.0
69,2687,2018_05_IND_NE,-10.5
70,2699,2018_05_JAX_KC,-3.0
71,2711,2018_05_LA_SEA,7.0
72,2692,2018_05_MIA_CIN,-6.5
73,2707,2018_05_MIN_PHI,-3.0
74,2690,2018_05_NYG_CAR,-7.0
