,season,team,line,over_odds,under_odds
288,2012,ARI,7.0,133,-170
289,2012,ATL,9.0,-135,105
290,2012,BAL,10.0,150,-190
291,2012,BUF,8.0,-150,120
292,2012,CAR,7.5,-145,115
293,2012,CHI,9.5,-105,-125
294,2012,CIN,8.0,105,-135
295,2012,CLE,5.5,133,-170
296,2012,DAL,8.5,-160,125
297,2012,DEN,8.5,-170,133
298,2012,DET,9.0,105,-135
299,2012,GB,12.0,160,-200
300,2012,HOU,10.0,-190,150
301,2012,IND,5.5,-105,-125
302,2012,JAX,5.5,-110,-120
303,2012,KC,8.0,125,-160
304,2012,MIA,7.0,170,-220
305,2012,MIN,6.0,-115,-115
306,2012,NE,12.0,-115,-115
307,2012,NO,9.5,-125,-105
308,2012,NYG,9.0,-140,110
309,2012,NYJ,8.5,125,-160
310,2012,OAK,7.0,-115,-115
311,2012,PHI,10.0,110,-140
312,2012,PIT,10.0,-125,-105
313,2012,SD,9.0,130,-165
314,2012,SEA,7.5,-130,100
315,2012,SF,10.0,110,-140
316,2012,STL,6.0,-125,-105
317,2012,TB,6.0,-140,110
318,2012,TEN,7.0,-145,115
319,2012,WAS,6.5,115,-145
320,2013,ARI,5.5,-160,125
321,2013,ATL,10.0,100,-130
322,2013,BAL,8.5,-110,-120
323,2013,BUF,6.5,120,-150
324,2013,CAR,7.5,-140,110
325,2013,CHI,8.5,-150,120
326,2013,CIN,8.5,-170,133
327,2013,CLE,6.5,-125,-105
328,2013,DAL,8.5,-115,-115
329,2013,DEN,11.5,-105,-125
330,2013,DET,8.0,-150,120
331,2013,GB,10.5,-105,-125
332,2013,HOU,10.5,125,-160
333,2013,IND,8.5,-110,-120
334,2013,JAX,5.0,-115,-115
335,2013,KC,7.5,-160,-125
336,2013,MIA,8.0,120,-150
337,2013,MIN,7.0,-105,-125
338,2013,NE,11.0,130,-165
339,2013,NO,9.0,-150,120
340,2013,NYG,9.0,130,-165
341,2013,NYJ,6.5,160,-200
342,2013,OAK,5.5,160,-200
343,2013,PHI,7.5,100,-130
344,2013,PIT,9.0,-115,-115
345,2013,SD,7.5,120,-150
346,2013,SEA,10.5,-140,110
347,2013,SF,11.5,150,-190
348,2013,STL,7.5,-120,-110
349,2013,TB,7.5,-145,115
350,2013,TEN,6.5,-115,-115
351,2013,WAS,8.0,-125,-105
352,2014,ARI,7.5,-175,155
353,2014,ATL,8.5,150,-170
354,2014,BAL,8.5,-120,100
355,2014,BUF,6.5,-145,125
356,2014,CAR,8.0,145,-165
357,2014,CHI,8.5,-150,130
358,2014,CIN,9.0,-110,-110
359,2014,CLE,6.5,110,-130
360,2014,DAL,8.0,230,-270
361,2014,DEN,11.5,100,-120
362,2014,DET,8.5,110,-130
363,2014,GB,10.5,115,-135
364,2014,HOU,7.5,-175,155
365,2014,IND,9.5,110,-130
366,2014,JAX,5.0,-150,130
367,2014,KC,8.0,160,-180
368,2014,MIA,8.0,150,-170
369,2014,MIN,6.0,-175,155
370,2014,NE,10.5,-180,160
371,2014,NO,10.0,-160,140
372,2014,NYG,8.0,130,-150
373,2014,NYJ,7.0,-125,105
374,2014,OAK,5.0,-130,110
375,2014,PHI,9.0,-150,130
376,2014,PIT,8.5,-140,120
377,2014,SD,8.0,-135,115
378,2014,SEA,11.0,-110,-110
379,2014,SF,10.5,145,-165
380,2014,STL,7.0,120,-140
381,2014,TB,7.0,-120,100
382,2014,TEN,7.0,-140,120
383,2014,WAS,7.5,-120,100
384,2015,ARI,8.5,120,-140
385,2015,ATL,8.5,-110,-110
386,2015,BAL,9.0,-140,120
387,2015,BUF,8.5,130,-150
388,2015,CAR,8.5,150,-170
389,2015,CHI,6.5,100,-120
390,2015,CIN,8.5,100,-120
391,2015,CLE,6.5,155,-175
392,2015,DAL,9.5,110,-130
393,2015,DEN,10.0,-140,120
394,2015,DET,8.5,130,-150
395,2015,GB,11.0,140,-160
396,2015,HOU,8.5,100,-120
397,2015,IND,10.5,-160,140
398,2015,JAX,5.5,-120,100
399,2015,KC,8.5,-150,130
400,2015,MIA,9.0,-160,140
401,2015,MIN,8.0,-150,130
402,2015,NE,10.5,-130,110
403,2015,NO,8.5,-130,110
404,2015,NYG,8.0,150,-170
405,2015,NYJ,7.5,110,-130
406,2015,OAK,5.5,-160,140
407,2015,PHI,10.0,-130,110
408,2015,PIT,8.5,-110,-110
409,2015,SD,8.0,-160,140
410,2015,SEA,11.0,-120,100
411,2015,SF,6.5,155,-175
412,2015,STL,7.5,-110,-110
413,2015,TB,6.0,-150,130
414,2015,TEN,5.5,-200,180
415,2015,WAS,6.0,-130,110
416,2016,ARI,10.0,-170,150
417,2016,ATL,7.0,-130,110
418,2016,BAL,8.5,-110,-110
419,2016,BUF,8.0,130,-150
420,2016,CAR,10.5,120,-140
421,2016,CHI,7.5,145,-165
422,2016,CIN,9.5,100,-120
423,2016,CLE,4.5,-150,130
424,2016,DAL,8.5,110,-130
425,2016,DEN,9.5,130,-150
426,2016,DET,7.0,-150,130
427,2016,GB,10.5,-170,150
428,2016,HOU,8.5,-120,100
429,2016,IND,9.0,120,-140
430,2016,JAX,7.5,-125,105
431,2016,KC,9.5,-140,120
432,2016,LA,7.5,175,-200
433,2016,MIA,7.0,120,-140
434,2016,MIN,8.5,115,-135
435,2016,NE,10.5,-120,100
436,2016,NO,7.0,-140,120
437,2016,NYG,8.5,100,-120
438,2016,NYJ,8.0,150,-170
439,2016,OAK,8.5,-110,-110
440,2016,PHI,6.5,130,-150
441,2016,PIT,10.5,110,-130
442,2016,SD,7.0,-185,165
443,2016,SEA,10.5,-145,125
444,2016,SF,5.5,110,-130
445,2016,TB,7.0,-140,120
446,2016,TEN,6.0,-150,130
447,2016,WAS,7.5,-120,100
448,2017,ARI,8.5,-160,140
449,2017,ATL,9.5,-110,-110
450,2017,BAL,8.5,130,-150
451,2017,BUF,6.5,130,-150
452,2017,CAR,9.0,-120,100
453,2017,CHI,5.5,105,-125
454,2017,CIN,8.5,120,-140
455,2017,CLE,4.5,-180,150
456,2017,DAL,9.5,120,-140
457,2017,DEN,8.0,100,-120
458,2017,DET,7.5,120,-140
459,2017,GB,10.5,120,-140
460,2017,HOU,8.5,100,-120
461,2017,IND,8.0,130,-150
462,2017,JAX,6.5,-125,105
463,2017,KC,9.0,-120,100
464,2017,LAC,7.5,-160,140
465,2017,LA,6.0,140,-160
466,2017,MIA,7.0,-130,110
467,2017,MIN,8.5,-130,110
468,2017,NE,12.5,100,-120
469,2017,NO,8.0,100,-120
470,2017,NYG,9.0,-130,110
