Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,game_id
IND,2022-12-04,8,Sun,13,13,@,DAL,L 19-54,8,7,6,0,0,0,IND_DAL_2022-12-04
MIA,2021-01-03,8,Sun,16,17,@,BUF,L 26-56,8,8,8,0,0,0,MIA_BUF_2021-01-03
MIA,2019-09-08,8,Sun,1,1,,BAL,L 10-59,8,8,8,1,1,0,MIA_BAL_2019-09-08
CHI,2022-10-30,7,Sun,8,8,@,DAL,L 29-49,7,7,7,0,0,0,CHI_DAL_2022-10-30
PHI,2022-01-08,7,Sat,17,18,,DAL,L 26-51,7,7,6,1,1,0,PHI_DAL_2022-01-08
JAX,2022-01-02,7,Sun,16,17,@,NWE,L 10-50,7,6,5,1,1,0,JAX_NWE_2022-01-02
WAS,2021-12-26,7,Sun,15,16,@,DAL,L 14-56,7,8,8,0,0,0,WAS_DAL_2021-12-26
NYJ,2021-10-24,7,Sun,6,7,@,NWE,L 13-54,7,7,6,2,2,0,NYJ_NWE_2021-10-24
CLE,2021-10-10,7,Sun,5,5,@,LAC,L 42-47,7,5,3,0,0,0,CLE_LAC_2021-10-10
ATL,2021-09-19,7,Sun,2,2,@,TAM,L 25-48,7,7,6,0,0,0,ATL_TAM_2021-09-19
DET,2020-12-26,7,Sat,15,16,,TAM,L 7-47,7,7,5,1,0,0,DET_TAM_2020-12-26
MIN,2020-12-25,7,Fri,15,16,@,NOR,L 33-52,7,7,7,1,1,0,MIN_NOR_2020-12-25
CIN,2019-11-10,7,Sun,9,10,,BAL,L 13-49,7,7,7,0,0,0,CIN_BAL_2019-11-10
CAR,2019-10-27,7,Sun,7,8,@,SFO,L 13-51,7,6,6,1,1,0,CAR_SFO_2019-10-27
ATL,2019-10-06,7,Sun,5,5,@,HOU,L 32-53,7,7,5,2,2,0,ATL_HOU_2019-10-06
LAR,2019-09-29,7,Sun,4,4,,TAM,L 40-55,7,7,7,2,2,0,LAR_TAM_2019-09-29
KAN,2018-11-19,7,Mon,11,11,@,LAR,L 51-54,7,7,6,2,2,0,KAN_LAR_2018-11-19
LAR,2018-11-19,7,Mon,11,11,,KAN,W 54-51,7,7,6,1,1,0,LAR_KAN_2018-11-19
CAR,2018-11-08,7,Thu,9,10,@,PIT,L 21-52,7,7,7,1,1,0,CAR_PIT_2018-11-08
DEN,2017-11-05,7,Sun,8,9,@,PHI,L 23-51,7,7,6,1,1,0,DEN_PHI_2017-11-05
DET,2017-10-15,7,Sun,6,6,@,NOR,L 38-52,7,7,7,1,1,0,DET_NOR_2017-10-15
TEN,2017-10-01,7,Sun,4,4,@,HOU,L 14-57,7,7,6,3,3,0,TEN_HOU_2017-10-01
DEN,2022-12-25,6,Sun,15,16,@,LAR,L 14-51,6,6,6,3,3,0,DEN_LAR_2022-12-25
