Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,game_id
BAL,2021-11-07,36,Sun,8,9,,MIN,W 34-31 (OT),36,17,15,4,15,6,40.0,3,3,100.0,BAL_MIN_2021-11-07
NOR,2020-12-25,36,Fri,15,16,,MIN,W 52-33,36,21,14,1,9,5,55.6,1,1,100.0,NOR_MIN_2020-12-25
KAN,2020-11-22,36,Sun,10,11,@,LVR,W 35-31,36,10,22,4,9,5,55.6,2,2,100.0,KAN_LVR_2020-11-22
LAR,2019-09-29,36,Sun,4,4,,TAM,L 40-55,36,3,27,6,11,4,36.4,1,0,0.0,LAR_TAM_2019-09-29
DAL,2020-10-04,35,Sun,4,4,,CLE,L 38-49,35,6,29,0,11,6,54.5,2,1,50.0,DAL_CLE_2020-10-04
HOU,2019-10-13,35,Sun,6,6,@,KAN,W 31-24,35,12,20,3,12,5,41.7,3,2,66.7,HOU_KAN_2019-10-13
GNB,2018-12-23,35,Sun,15,16,@,NYJ,W 44-38 (OT),35,9,19,7,12,5,41.7,2,2,100.0,GNB_NYJ_2018-12-23
KAN,2020-12-20,34,Sun,14,15,@,NOR,W 32-29,34,13,16,5,18,9,50.0,0,0,,KAN_NOR_2020-12-20
WAS,2020-11-15,34,Sun,9,10,@,DET,L 27-30,34,8,22,4,15,7,46.7,2,2,100.0,WAS_DET_2020-11-15
TAM,2018-10-21,34,Sun,6,7,,CLE,W 26-23 (OT),34,8,20,6,13,6,46.2,1,1,100.0,TAM_CLE_2018-10-21
KAN,2022-12-18,33,Sun,14,15,@,HOU,W 30-24 (OT),33,11,20,2,12,6,50.0,0,0,,KAN_HOU_2022-12-18
IND,2022-09-11,33,Sun,1,1,@,HOU,T 20-20 (OT),33,11,20,2,15,6,40.0,1,0,0.0,IND_HOU_2022-09-11
KAN,2022-09-11,33,Sun,1,1,@,ARI,W 44-21,33,7,22,4,8,5,62.5,1,1,100.0,KAN_ARI_2022-09-11
CIN,2021-12-26,33,Sun,15,16,,BAL,W 41-21,33,4,26,3,10,5,50.0,2,2,100.0,CIN_BAL_2021-12-26
LAC,2021-11-21,33,Sun,10,11,,PIT,W 41-37,33,9,19,5,12,7,58.3,1,0,0.0,LAC_PIT_2021-11-21
TAM,2021-10-10,33,Sun,5,5,,MIA,W 45-17,33,5,26,2,11,8,72.7,0,0,,TAM_MIA_2021-10-10
KAN,2021-09-26,33,Sun,3,3,,LAC,L 24-30,33,12,17,4,10,6,60.0,0,0,,KAN_LAC_2021-09-26
TEN,2021-09-19,33,Sun,2,2,@,SEA,W 33-30 (OT),33,11,16,6,14,6,42.9,1,0,0.0,TEN_SEA_2021-09-19
CLE,2020-12-14,33,Mon,13,14,,BAL,L 42-47,33,10,18,5,12,5,41.7,2,2,100.0,CLE_BAL_2020-12-14
