Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,game_id
MIN,2021-11-07,36,Sun,8,9,@,BAL,L 31-34 (OT),36,17,15,4,15,6,40.0,3,3,100.0,MIN_BAL_2021-11-07
MIN,2020-12-25,36,Fri,15,16,@,NOR,L 33-52,36,21,14,1,9,5,55.6,1,1,100.0,MIN_NOR_2020-12-25
LVR,2020-11-22,36,Sun,10,11,,KAN,L 31-35,36,10,22,4,9,5,55.6,2,2,100.0,LVR_KAN_2020-11-22
TAM,2019-09-29,36,Sun,4,4,@,LAR,W 55-40,36,3,27,6,11,4,36.4,1,0,0.0,TAM_LAR_2019-09-29
CLE,2020-10-04,35,Sun,4,4,@,DAL,W 49-38,35,6,29,0,11,6,54.5,2,1,50.0,CLE_DAL_2020-10-04
KAN,2019-10-13,35,Sun,6,6,,HOU,L 24-31,35,12,20,3,12,5,41.7,3,2,66.7,KAN_HOU_2019-10-13
NYJ,2018-12-23,35,Sun,15,16,,GNB,L 38-44 (OT),35,9,19,7,12,5,41.7,2,2,100.0,NYJ_GNB_2018-12-23
NOR,2020-12-20,34,Sun,14,15,,KAN,L 29-32,34,13,16,5,18,9,50.0,0,0,,NOR_KAN_2020-12-20
DET,2020-11-15,34,Sun,9,10,,WAS,W 30-27,34,8,22,4,15,7,46.7,2,2,100.0,DET_WAS_2020-11-15
CLE,2018-10-21,34,Sun,7,7,@,TAM,L 23-26 (OT),34,8,20,6,13,6,46.2,1,1,100.0,CLE_TAM_2018-10-21
HOU,2022-12-18,33,Sun,14,15,,KAN,L 24-30 (OT),33,11,20,2,12,6,50.0,0,0,,HOU_KAN_2022-12-18
ARI,2022-09-11,33,Sun,1,1,,KAN,L 21-44,33,7,22,4,8,5,62.5,1,1,100.0,ARI_KAN_2022-09-11
HOU,2022-09-11,33,Sun,1,1,,IND,T 20-20 (OT),33,11,20,2,15,6,40.0,1,0,0.0,HOU_IND_2022-09-11
BAL,2021-12-26,33,Sun,15,16,@,CIN,L 21-41,33,4,26,3,10,5,50.0,2,2,100.0,BAL_CIN_2021-12-26
PIT,2021-11-21,33,Sun,10,11,@,LAC,L 37-41,33,9,19,5,12,7,58.3,1,0,0.0,PIT_LAC_2021-11-21
MIA,2021-10-10,33,Sun,5,5,@,TAM,L 17-45,33,5,26,2,11,8,72.7,0,0,,MIA_TAM_2021-10-10
LAC,2021-09-26,33,Sun,3,3,@,KAN,W 30-24,33,12,17,4,10,6,60.0,0,0,,LAC_KAN_2021-09-26
SEA,2021-09-19,33,Sun,2,2,,TEN,L 30-33 (OT),33,11,16,6,14,6,42.9,1,0,0.0,SEA_TEN_2021-09-19
BAL,2020-12-14,33,Mon,13,14,@,CLE,W 47-42,33,10,18,5,12,5,41.7,2,2,100.0,BAL_CLE_2020-12-14
ARI,2020-10-25,33,Sun,7,7,,SEA,W 37-34 (OT),33,11,21,1,13,5,38.5,1,1,100.0,ARI_SEA_2020-10-25
DAL,2020-10-04,33,Sun,4,4,,CLE,L 38-49,33,16,14,3,11,5,45.5,0,0,,DAL_CLE_2020-10-04
ATL,2020-09-20,33,Sun,2,2,@,DAL,L 39-40,33,9,20,4,13,7,53.8,2,0,0.0,ATL_DAL_2020-09-20
ARI,2018-12-23,33,Sun,15,16,,LAR,L 9-31,33,18,11,4,9,6,66.7,0,0,,ARI_LAR_2018-12-23
CIN,2018-11-11,33,Sun,9,10,,NOR,L 14-51,33,18,13,2,12,7,58.3,1,1,100.0,CIN_NOR_2018-11-11
CIN,2018-10-21,33,Sun,7,7,@,KAN,L 10-45,33,12,19,2,12,9,75.0,1,0,0.0,CIN_KAN_2018-10-21
ARI,2018-10-07,33,Sun,5,5,@,SFO,W 28-18,33,9,22,2,17,10,58.8,2,1,50.0,ARI_SFO_2018-10-07
LAC,2018-09-23,33,Sun,3,3,@,LAR,L 23-35,33,12,18,3,11,8,72.7,0,0,,LAC_LAR_2018-09-23
KAN,2018-09-16,33,Sun,2,2,@,PIT,W 42-37,33,2,25,6,11,3,27.3,2,2,100.0,KAN_PIT_2018-09-16
KAN,2018-09-09,33,Sun,1,1,@,LAC,W 38-28,33,7,23,3,11,3,27.3,1,1,100.0,KAN_LAC_2018-09-09
TEN,2017-10-01,33,Sun,4,4,@,HOU,L 14-57,33,10,19,4,12,6,50.0,1,1,100.0,TEN_HOU_2017-10-01
IND,2022-12-17,32,Sat,14,15,@,MIN,L 36-39 (OT),32,4,22,6,15,5,33.3,3,0,0.0,IND_MIN_2022-12-17
PIT,2022-09-11,32,Sun,1,1,@,CIN,W 23-20 (OT),32,5,22,5,16,8,50.0,3,1,33.3,PIT_CIN_2022-09-11
JAX,2022-01-02,32,Sun,16,17,@,NWE,L 10-50,32,16,15,1,10,8,80.0,0,0,,JAX_NWE_2022-01-02
CIN,2021-10-31,32,Sun,8,8,@,NYJ,L 31-34,32,6,23,3,11,6,54.5,0,0,,CIN_NYJ_2021-10-31
NYJ,2021-10-24,32,Sun,6,7,@,NWE,L 13-54,32,12,17,3,12,7,58.3,1,1,100.0,NYJ_NWE_2021-10-24
NWE,2021-10-17,32,Sun,6,6,,DAL,L 29-35 (OT),32,5,25,2,13,3,23.1,4,2,50.0,NWE_DAL_2021-10-17
BUF,2019-11-28,32,Thu,12,13,@,DAL,W 26-15,32,5,22,5,13,7,53.8,3,1,33.3,BUF_DAL_2019-11-28
DET,2019-10-20,32,Sun,6,7,,MIN,L 30-42,32,10,19,3,10,6,60.0,0,0,,DET_MIN_2019-10-20
GNB,2019-10-06,32,Sun,5,5,@,DAL,W 34-24,32,9,19,4,8,2,25.0,0,0,,GNB_DAL_2019-10-06
PHI,2018-12-09,32,Sun,13,14,@,DAL,L 23-29 (OT),32,6,23,3,18,9,50.0,1,1,100.0,PHI_DAL_2018-12-09
ATL,2018-09-23,32,Sun,3,3,,NOR,L 37-43 (OT),32,11,19,2,14,7,50.0,1,1,100.0,ATL_NOR_2018-09-23
SFO,2017-12-24,32,Sun,15,16,,JAX,W 44-33,32,7,20,5,13,5,38.5,2,2,100.0,SFO_JAX_2017-12-24
BUF,2017-11-12,32,Sun,9,10,,NOR,L 10-47,32,20,9,3,12,6,50.0,2,2,100.0,BUF_NOR_2017-11-12
KAN,2017-10-19,32,Thu,7,7,@,OAK,L 30-31,32,3,23,6,13,6,46.2,1,1,100.0,KAN_OAK_2017-10-19
JAX,2022-12-04,31,Sun,12,13,@,DET,L 14-40,31,8,21,2,12,8,66.7,0,0,,JAX_DET_2022-12-04
MIA,2022-09-25,31,Sun,3,3,,BUF,W 21-19,31,9,21,1,18,11,61.1,3,2,66.7,MIA_BUF_2022-09-25
PHI,2021-10-03,31,Sun,4,4,,KAN,L 30-42,31,12,16,3,10,9,90.0,0,0,,PHI_KAN_2021-10-03
KAN,2021-09-19,31,Sun,2,2,@,BAL,L 35-36,31,18,11,2,11,6,54.5,1,1,100.0,KAN_BAL_2021-09-19
SFO,2021-09-12,31,Sun,1,1,@,DET,W 41-33,31,8,19,4,15,4,26.7,5,2,40.0,SFO_DET_2021-09-12
DET,2021-01-03,31,Sun,16,17,,MIN,L 35-37,31,8,20,3,13,4,30.8,2,2,100.0,DET_MIN_2021-01-03
NWE,2020-12-28,31,Mon,15,16,,BUF,L 9-38,31,11,19,1,12,5,41.7,3,3,100.0,NWE_BUF_2020-12-28
SFO,2020-12-07,31,Mon,12,13,,BUF,L 24-34,31,6,22,3,9,4,44.4,3,2,66.7,SFO_BUF_2020-12-07
MIA,2020-11-01,31,Sun,7,8,,LAR,W 28-17,31,11,19,1,17,7,41.2,1,0,0.0,MIA_LAR_2020-11-01
SEA,2020-10-25,31,Sun,6,7,@,ARI,L 34-37 (OT),31,11,17,3,12,5,41.7,2,1,50.0,SEA_ARI_2020-10-25
CLE,2020-10-25,31,Sun,7,7,@,CIN,W 37-34,31,5,24,2,9,6,66.7,1,1,100.0,CLE_CIN_2020-10-25
HOU,2020-10-18,31,Sun,6,6,@,TEN,L 36-42 (OT),31,9,20,2,10,6,60.0,0,0,,HOU_TEN_2020-10-18
SEA,2020-10-11,31,Sun,5,5,,MIN,W 27-26,31,12,17,2,14,6,42.9,3,2,66.7,SEA_MIN_2020-10-11
NYJ,2020-09-13,31,Sun,1,1,@,BUF,L 17-27,31,8,17,6,14,7,50.0,1,1,100.0,NYJ_BUF_2020-09-13
MIN,2020-09-13,31,Sun,1,1,,GNB,L 34-43,31,11,17,3,11,6,54.5,2,1,50.0,MIN_GNB_2020-09-13
CLE,2019-12-22,31,Sun,15,16,,BAL,L 15-31,31,16,13,2,11,7,63.6,1,0,0.0,CLE_BAL_2019-12-22
LAR,2019-11-25,31,Mon,11,12,,BAL,L 6-45,31,17,13,1,15,9,60.0,3,3,100.0,LAR_BAL_2019-11-25
TAM,2019-11-03,31,Sun,8,9,@,SEA,L 34-40 (OT),31,4,23,4,8,2,25.0,0,0,,TAM_SEA_2019-11-03
ARI,2019-10-13,31,Sun,6,6,,ATL,W 34-33,31,7,20,4,11,6,54.5,0,0,,ARI_ATL_2019-10-13
ATL,2019-10-06,31,Sun,5,5,@,HOU,L 32-53,31,11,18,2,13,10,76.9,0,0,,ATL_HOU_2019-10-06
PHI,2019-09-26,31,Thu,4,4,@,GNB,W 34-27,31,4,19,8,11,6,54.5,1,0,0.0,PHI_GNB_2019-09-26
MIA,2019-09-08,31,Sun,1,1,,BAL,L 10-59,31,10,17,4,11,7,63.6,2,2,100.0,MIA_BAL_2019-09-08
KAN,2018-12-23,31,Sun,15,16,@,SEA,L 31-38,31,11,15,5,14,7,50.0,0,0,,KAN_SEA_2018-12-23
NYG,2018-11-18,31,Sun,10,11,,TAM,W 38-35,31,10,18,3,9,6,66.7,2,1,50.0,NYG_TAM_2018-11-18
LAR,2018-11-04,31,Sun,9,9,@,NOR,L 35-45,31,10,19,2,12,7,58.3,2,2,100.0,LAR_NOR_2018-11-04
KAN,2018-10-14,31,Sun,6,6,@,NWE,L 40-43,31,15,14,2,13,7,53.8,1,0,0.0,KAN_NWE_2018-10-14
SFO,2018-09-23,31,Sun,3,3,@,KAN,L 27-38,31,9,15,7,11,7,63.6,1,1,100.0,SFO_KAN_2018-09-23
BAL,2017-12-10,31,Sun,13,14,@,PIT,L 38-39,31,6,23,2,18,12,66.7,0,0,,BAL_PIT_2017-12-10
DET,2022-12-24,30,Sat,15,16,@,CAR,L 23-37,30,16,11,3,9,3,33.3,1,1,100.0,DET_CAR_2022-12-24
CAR,2022-11-06,30,Sun,9,9,@,CIN,L 21-42,30,19,10,1,10,6,60.0,0,0,,CAR_CIN_2022-11-06
DET,2022-09-25,30,Sun,3,3,@,MIN,L 24-28,30,9,16,5,9,2,22.2,2,1,50.0,DET_MIN_2022-09-25
CLE,2021-11-14,30,Sun,10,10,@,NWE,L 7-45,30,10,17,3,9,7,77.8,0,0,,CLE_NWE_2021-11-14
IND,2021-11-04,30,Thu,9,9,,NYJ,W 45-30,30,3,25,2,14,8,57.1,1,1,100.0,IND_NYJ_2021-11-04
IND,2021-10-11,30,Mon,5,5,@,BAL,L 25-31 (OT),30,7,22,1,8,3,37.5,0,0,,IND_BAL_2021-10-11
