,game_id,Team,Date,Day,G#,Week,Opp,Result,home,PtsO_points,PtDif_points,PC_points,vs. Line_vegas,Over/Under_vegas,OU Result_vegas,Att_pass,Inc_pass,Cmp%_pass,Yds_pass,TD_pass,Int_pass,TD%_pass,Int%_pass,Rate_pass,Sk_pass,Yds_pass,Sk%_pass,Y/A_pass,NY/A_pass,AY/A_pass,ANY/A_pass,Y/C_pass,Yds_rush,Y/A_rush,TD_rush,Ply_total,Y/P_total,DPly_total,DY/P_total,TO_total,ToP_total,Time_total,Yds_penalty,OppPen_penalty,OppYds_penalty,CombPen_penalty,CombPenYds_penalty,Rsh_downs,Pass_downs,Pen_downs,3DAtt_downs,3DConv_downs,3D%_downs,4DAtt_downs,4DConv_downs,4D%_downs,Att_opp_passing,Cmp%_opp_passing,Yds_opp_passing,TD_opp_passing,Sk_opp_passing,Yds_opp_passing,Int_opp_passing,Rate_opp_passing,Yds_opp_rushing,Y/A_opp_rushing,TD_opp_rushing,TO_opp_totals,Rush_opp_downs,Pass_opp_downs,Pen_opp_downs,Opp3DAtt_opp_downs,Opp3DConv_opp_downs,Opp3D%_opp_downs,Opp4DAtt_opp_downs,Opp4DConv_opp_downs,Opp4D%_opp_downs,XPA_opp_scoring,XPM_opp_scoring,Att_opp_scoring,Md_opp_scoring,Sfty_opp_scoring
0,BAL_MIA_2019-09-08,BAL,2019-09-08,Sun,1,1,MIA,W 59-10,0,10,49,69,,,,26,3,88.5,378,6,0,23.1,0.0,158.3,1,1,3.70,14.5,14.00,19.15,18.44,16.4,265,5.8,2,73,8.81,47,4.26,0,40:07,2:58,40,9,64,13,104,10,17,4,11,7,63.6,2,2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HOU_TEN_2017-10-01,HOU,2017-10-01,Sun,4,4,TEN,W 57-14,1,14,43,71,covered,43.0,over,34,9,73.5,272,4,1,11.8,2.9,125.0,2,11,5.56,8.0,7.56,9.03,8.53,10.9,173,4.1,2,78,5.71,41,4.76,1,39:41,2:56,,,,,,10,19,4,12,6,50.0,1,1,100.0,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
2,DAL_WAS_2021-12-26,DAL,2021-12-26,Sun,15,16,WAS,W 56-14,1,14,42,70,,,,42,12,71.4,389,5,0,11.9,0.0,140.9,3,11,6.67,9.3,8.64,11.64,10.87,13.0,108,3.9,1,73,6.81,57,4.51,0,31:31,3:05,,,,,,7,20,1,15,10,66.7,1,1,100.0,,,,,,,,,85,4.3,0,,,,,,,,,,,2,2,0,0,0
3,BUF_MIA_2021-01-03,BUF,2021-01-03,Sun,16,17,MIA,W 56-26,1,26,30,82,covered,43.0,over,38,14,63.2,377,4,2,10.5,5.3,110.4,1,11,2.56,9.9,9.67,9.66,9.41,15.7,78,3.1,2,64,7.11,80,5.68,2,27:22,3:13,,,,,,4,19,1,10,4,40.0,0,0,,59,61.0,384,1,1,9,3,64.5,70,3.5,2,4,5,20,2,14,3,21.4,2,1,50.0,2,2,2,2,0
4,TAM_LAR_2019-09-29,TAM,2019-09-29,Sun,4,4,LAR,W 55-40,0,40,15,95,covered,48.5,over,41,13,68.3,376,4,1,9.8,2.4,120.5,2,9,4.65,9.2,8.74,10.02,9.56,13.4,88,2.9,2,73,6.36,81,6.40,1,32:36,3:39,99,13,106,25,205,3,22,2,13,8,61.5,0,0,,68,66.2,490,2,2,27,3,78.7,,,,4,3,27,6,11,4,36.4,1,0,0.0,4,4,2,2,0
5,DAL_IND_2022-12-04,DAL,2022-12-04,Sun,12,13,IND,W 54-19,1,19,35,73,,,,30,10,66.7,165,3,1,10.0,3.3,100.7,1,5,3.23,5.5,5.32,6.00,5.81,8.3,220,6.5,4,65,5.92,70,4.41,1,28:41,3:07,,,,,,10,11,2,13,7,53.8,1,1,100.0,37,56.8,203,2,3,30,3,56.5,106,3.5,0,5,5,12,1,13,4,30.8,3,3,100.0,,,,,
6,NWE_NYJ_2021-10-24,NWE,2021-10-24,Sun,7,7,NYJ,W 54-13,1,13,41,67,,,,41,13,68.3,403,3,0,7.3,0.0,125.2,1,8,2.38,9.8,9.60,11.29,11.02,14.4,148,4.6,4,74,7.45,61,4.90,0,32:12,3:10,95,5,29,11,124,12,17,3,12,7,58.3,1,1,100.0,42,61.9,237,1,2,16,2,65.3,,,,3,3,13,2,13,7,53.8,2,0,0.0,1,1,1,0,0
7,LAR_KAN_2018-11-19,LAR,2018-11-19,Mon,11,11,KAN,W 54-51,1,51,3,105,push,63.5,over,49,18,63.3,379,4,0,8.2,0.0,117.1,5,34,9.26,7.7,7.02,9.37,8.50,12.2,76,3.6,1,75,6.07,69,7.91,2,30:23,3:42,60,13,135,21,195,4,21,4,14,5,35.7,1,1,100.0,46,71.7,448,6,3,30,3,114.9,98,4.9,0,5,2,21,4,10,5,50.0,1,1,100.0,7,6,1,1,0
8,LAC_BUF_2017-11-19,LAC,2017-11-19,Sun,10,11,BUF,W 54-24,1,24,30,78,,,,37,12,67.6,283,2,0,5.4,0.0,108.4,1,1,2.63,7.6,7.45,8.73,8.50,11.3,146,4.2,2,73,5.88,62,6.34,0,36:05,3:09,,,,,,8,20,0,14,7,50.0,0,0,,39,53.8,220,1,1,4,5,39.4,173,7.9,2,6,6,11,1,14,6,42.9,2,1,50.0,3,3,1,1,0
9,HOU_ATL_2019-10-06,HOU,2019-10-06,Sun,5,5,ATL,W 53-32,1,32,21,85,covered,49.0,over,33,5,84.8,426,5,0,15.2,0.0,158.3,0,0,0.00,12.9,12.91,15.94,15.94,15.2,166,4.9,1,67,8.84,68,5.49,1,31:00,3:13,89,7,63,16,152,11,18,2,13,10,76.9,0,0,,46,69.6,316,3,2,14,1,101.4,57,2.9,1,1,5,14,3,16,9,56.3,1,1,100.0,3,3,1,1,0
10,NOR_MIN_2020-12-25,NOR,2020-12-25,Fri,15,16,MIN,W 52-33,1,33,19,85,,,,28,7,75.0,319,0,2,0.0,7.1,82.3,0,0,0.00,11.4,11.39,8.18,8.18,15.2,264,5.9,7,73,7.99,60,6.07,2,36:47,3:11,38,3,20,7,58,21,14,1,9,5,55.6,1,1,100.0,41,65.9,274,3,2,17,0,109.2,,,,0,6,17,2,9,3,33.3,2,1,50.0,4,3,0,0,0
11,PIT_CAR_2018-11-08,PIT,2018-11-08,Thu,9,10,CAR,W 52-21,1,21,31,73,covered,51.0,over,27,4,85.2,319,5,0,18.5,0.0,156.4,1,6,3.57,11.8,11.39,15.52,14.96,13.9,138,4.6,1,58,7.88,56,4.32,0,30:35,2:49,,,,,,10,14,1,11,8,72.7,0,0,,29,79.3,147,2,5,46,1,96.4,95,4.3,1,,5,12,1,11,4,36.4,1,1,100.0,3,3,0,0,0
12,NOR_DET_2017-10-15,NOR,2017-10-15,Sun,5,6,DET,W 52-38,1,38,14,90,covered,50.5,over,30,10,66.7,186,2,2,6.7,6.7,77.9,0,0,0.00,6.2,6.20,4.53,4.53,9.3,193,5.2,2,67,5.66,76,4.57,3,32:11,3:47,118,7,46,20,164,9,9,1,12,2,16.7,1,1,100.0,52,48.1,281,3,5,31,3,59.9,,,,5,2,14,2,18,9,50.0,1,0,0.0,5,5,2,1,0
13,LAR_DEN_2022-12-25,LAR,2022-12-25,Sun,15,16,DEN,W 51-14,1,14,37,65,covered,36.5,over,28,4,85.7,230,2,0,7.1,0.0,124.7,0,0,0.00,8.2,8.21,9.64,9.64,9.6,158,4.4,3,64,6.06,61,5.30,0,36:35,2:58,,,,,,11,14,1,10,6,60.0,1,1,100.0,35,54.3,219,1,6,40,4,43.3,104,5.2,0,4,7,11,0,10,3,30.0,3,1,33.3,0,0,2,2,0
14,DAL_PHI_2022-01-08,DAL,2022-01-08,Sat,17,18,PHI,W 51-26,0,26,25,77,covered,43.5,over,28,6,78.6,304,5,0,17.9,0.0,151.6,1,1,3.45,10.9,10.48,14.43,13.93,13.8,171,5.3,2,61,7.79,70,4.50,0,27:37,3:02,44,3,30,8,74,9,13,0,13,8,61.5,2,2,100.0,34,58.8,166,2,3,22,1,78.8,149,4.5,1,1,9,11,2,18,10,55.6,3,3,100.0,2,2,2,2,0
15,SEA_DET_2022-01-02,SEA,2022-01-02,Sun,16,17,DET,W 51-29,1,29,22,80,,,,29,9,69.0,232,4,0,13.8,0.0,133.0,1,4,3.33,8.0,7.73,10.76,10.40,11.6,265,6.5,2,71,7.00,59,6.05,0,33:33,3:13,31,4,30,9,61,15,13,1,12,7,58.3,1,1,100.0,37,59.5,262,2,0,0,3,65.4,95,4.3,2,3,5,12,3,10,5,50.0,2,1,50.0,3,3,1,0,0
16,SFO_CAR_2019-10-27,SFO,2019-10-27,Sun,7,8,CAR,W 51-13,1,13,38,64,covered,41.0,over,22,4,81.8,156,2,1,9.1,4.5,111.2,3,19,12.00,7.1,6.24,6.86,6.04,8.7,232,6.1,5,63,6.16,63,3.65,1,33:01,3:04,31,9,70,13,101,10,12,2,10,5,50.0,0,0,,37,51.4,100,0,7,58,3,23.6,,,,,,,,,,,,,,,,,,
17,KAN_LAR_2018-11-19,KAN,2018-11-19,Mon,11,11,LAR,L 51-54,0,54,-3,105,push,63.5,over,46,13,71.7,448,6,3,13.0,6.5,117.6,3,30,6.12,9.7,9.14,9.41,8.84,13.6,98,4.9,0,69,7.91,75,6.07,5,29:37,3:42,135,8,60,21,195,2,21,4,10,5,50.0,1,1,100.0,49,63.3,379,4,5,34,0,114.2,76,3.6,1,2,4,21,4,14,5,35.7,1,1,100.0,7,6,2,2,0
18,NOR_CIN_2018-11-11,NOR,2018-11-11,Sun,9,10,CIN,W 51-14,0,14,37,65,covered,53.5,over,27,5,81.5,265,3,0,11.1,0.0,144.6,0,0,0.00,9.8,9.81,12.04,12.04,12.0,244,5.2,3,74,6.88,43,6.60,0,39:46,2:44,,,,,,18,13,2,12,7,58.3,1,1,100.0,,,,,,,,,,,,2,,,,,,,,,,2,2,0,0,0
