Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,game_id
LAR,2019-09-29,45,Sun,4,4,,TAM,L 40-55,45,68,23,66.2,490,2,3,2.9,4.4,80.3,2,27,2.86,7.2,7.00,5.81,5.64,10.9,LAR_TAM_2019-09-29
KAN,2022-11-06,43,Sun,8,9,,TEN,W 20-17 (OT),43,68,25,63.2,422,1,1,1.5,1.5,80.9,4,24,5.56,6.2,5.86,5.84,5.51,9.8,KAN_TEN_2022-11-06
IND,2022-10-16,42,Sun,6,6,,JAX,W 34-27,42,58,16,72.4,389,3,0,5.2,0.0,107.6,0,0,0.00,6.7,6.71,7.74,7.74,9.3,IND_JAX_2022-10-16
BUF,2022-09-25,42,Sun,3,3,@,MIA,L 19-21,42,63,21,66.7,382,2,0,3.2,0.0,94.7,4,18,5.97,6.1,5.70,6.70,6.30,9.1,BUF_MIA_2022-09-25
DAL,2021-09-09,42,Thu,1,1,@,TAM,L 29-31,42,58,16,72.4,391,3,1,5.2,1.7,101.4,1,12,1.69,6.7,6.63,7.00,6.88,9.3,DAL_TAM_2021-09-09
DAL,2018-12-09,42,Sun,13,14,,PHI,W 29-23 (OT),42,54,12,77.8,434,3,2,5.6,3.7,104.9,3,21,5.26,8.0,7.61,7.48,7.09,10.3,DAL_PHI_2018-12-09
PIT,2018-11-25,42,Sun,11,12,@,DEN,L 17-24,42,58,16,72.4,452,2,2,3.4,3.4,92.9,2,12,3.33,7.8,7.53,6.93,6.70,10.8,PIT_DEN_2018-11-25
TAM,2021-09-26,41,Sun,3,3,@,LAR,L 24-34,41,55,14,74.5,411,1,0,1.8,0.0,103.0,3,21,5.17,7.5,7.09,7.84,7.43,10.0,TAM_LAR_2021-09-26
DAL,2020-10-04,41,Sun,4,4,,CLE,L 38-49,41,58,17,70.7,481,4,1,6.9,1.7,112.9,3,21,4.92,8.3,7.89,8.90,8.46,11.7,DAL_CLE_2020-10-04
CIN,2022-12-24,40,Sat,15,16,@,NWE,W 22-18,40,52,12,76.9,369,3,2,5.8,3.8,99.4,2,6,3.70,7.1,6.83,6.52,6.28,9.2,CIN_NWE_2022-12-24
IND,2018-09-30,40,Sun,4,4,,HOU,L 34-37 (OT),40,62,22,64.5,437,4,0,6.5,0.0,108.5,4,27,6.06,7.0,6.62,8.34,7.83,10.9,IND_HOU_2018-09-30
MIN,2018-09-23,40,Sun,3,3,,BUF,L 6-27,40,55,15,72.7,278,1,1,1.8,1.8,83.6,4,18,6.78,5.1,4.71,4.60,4.29,7.0,MIN_BUF_2018-09-23
LAC,2022-12-11,39,Sun,13,14,,MIA,W 23-17,39,51,12,76.5,350,1,0,2.0,0.0,102.3,4,17,7.27,6.9,6.36,7.25,6.73,9.0,LAC_MIA_2022-12-11
TAM,2022-10-02,39,Sun,4,4,,KAN,L 31-41,39,52,13,75.0,373,3,0,5.8,0.0,114.7,1,12,1.89,7.2,7.04,8.33,8.17,9.6,TAM_KAN_2022-10-02
NYJ,2021-10-31,39,Sun,7,8,,CIN,W 34-31,39,49,10,79.6,414,3,2,6.1,4.1,106.0,2,8,3.92,8.4,8.12,7.84,7.53,10.6,NYJ_CIN_2021-10-31
LAR,2020-11-23,39,Mon,10,11,@,TAM,W 27-24,39,51,12,76.5,376,3,2,5.9,3.9,99.8,0,0,0.00,7.4,7.37,6.78,6.78,9.6,LAR_TAM_2020-11-23
