Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,game_id
CLE,2019-09-08,18,Sun,1,1,,TEN,L 13-43,18,182,6,54,24,236,CLE_TEN_2019-09-08
JAX,2019-12-01,16,Sun,12,13,,TAM,L 11-28,16,121,8,44,24,165,JAX_TAM_2019-12-01
ATL,2019-09-22,16,Sun,3,3,@,IND,L 24-27,16,128,4,39,20,167,ATL_IND_2019-09-22
NYJ,2018-12-23,16,Sun,15,16,,GNB,L 38-44 (OT),16,172,10,86,26,258,NYJ_GNB_2018-12-23
WAS,2018-12-09,15,Sun,13,14,,NYG,L 16-40,15,135,2,18,17,153,WAS_NYG_2018-12-09
ATL,2018-09-06,15,Thu,1,1,@,PHI,L 12-18,15,135,11,101,26,236,ATL_PHI_2018-09-06
LVR,2021-11-25,14,Thu,11,12,@,DAL,W 36-33 (OT),14,110,14,166,28,276,LVR_DAL_2021-11-25
DAL,2021-11-25,14,Thu,11,12,,LVR,L 33-36 (OT),14,166,14,110,28,276,DAL_LVR_2021-11-25
PHI,2021-09-12,14,Sun,1,1,@,ATL,W 32-6,14,89,12,99,26,188,PHI_ATL_2021-09-12
LVR,2021-01-03,14,Sun,16,17,@,DEN,W 32-31,14,111,4,28,18,139,LVR_DEN_2021-01-03
SEA,2018-12-16,14,Sun,14,15,@,SFO,L 23-26 (OT),14,148,8,66,22,214,SEA_SFO_2018-12-16
NWE,2018-12-16,14,Sun,14,15,@,PIT,L 10-17,14,106,4,40,18,146,NWE_PIT_2018-12-16
LAC,2018-11-18,14,Sun,10,11,,DEN,L 22-23,14,120,7,43,21,163,LAC_DEN_2018-11-18
CHI,2018-11-04,14,Sun,8,9,@,BUF,W 41-9,14,129,10,163,24,292,CHI_BUF_2018-11-04
CLE,2018-10-21,14,Sun,7,7,@,TAM,L 23-26 (OT),14,114,8,65,22,179,CLE_TAM_2018-10-21
SFO,2018-09-23,14,Sun,3,3,@,KAN,L 27-38,14,147,6,48,20,195,SFO_KAN_2018-09-23
LVR,2022-12-18,13,Sun,14,15,,NWE,W 30-24,13,90,6,30,19,120,LVR_NWE_2022-12-18
DAL,2022-11-24,13,Thu,11,12,,NYG,W 28-20,13,86,7,66,20,152,DAL_NYG_2022-11-24
JAX,2022-10-23,13,Sun,7,7,,NYG,L 17-23,13,81,8,67,21,148,JAX_NYG_2022-10-23
DEN,2022-09-18,13,Sun,2,2,,HOU,W 16-9,13,100,8,94,21,194,DEN_HOU_2022-09-18
JAX,2022-09-11,13,Sun,1,1,@,WAS,L 22-28,13,90,6,63,19,153,JAX_WAS_2022-09-11
PHI,2021-09-27,13,Mon,3,3,@,DAL,L 21-41,13,86,4,37,17,123,PHI_DAL_2021-09-27
CLE,2020-12-06,13,Sun,12,13,@,TEN,W 41-35,13,92,5,52,18,144,CLE_TEN_2020-12-06
PIT,2019-11-10,13,Sun,9,10,,LAR,W 17-12,13,107,10,95,23,202,PIT_LAR_2019-11-10
CLE,2019-10-27,13,Sun,7,8,@,NWE,L 13-27,13,85,4,32,17,117,CLE_NWE_2019-10-27
LAR,2019-09-29,13,Sun,4,4,,TAM,L 40-55,13,106,12,99,25,205,LAR_TAM_2019-09-29
ATL,2018-12-09,13,Sun,13,14,@,GNB,L 20-34,13,101,6,37,19,138,ATL_GNB_2018-12-09
OAK,2018-12-09,13,Sun,13,14,,PIT,W 24-21,13,130,2,14,15,144,OAK_PIT_2018-12-09
BUF,2018-12-02,13,Sun,12,13,@,MIA,L 17-21,13,120,8,89,21,209,BUF_MIA_2018-12-02
SFO,2018-12-02,13,Sun,12,13,@,SEA,L 16-43,13,128,10,100,23,228,SFO_SEA_2018-12-02
BUF,2018-11-25,13,Sun,11,12,,JAX,W 24-21,13,80,10,90,23,170,BUF_JAX_2018-11-25
CIN,2018-11-25,13,Sun,11,12,,CLE,L 20-35,13,96,7,61,20,157,CIN_CLE_2018-11-25
KAN,2018-11-19,13,Mon,11,11,@,LAR,L 51-54,13,135,8,60,21,195,KAN_LAR_2018-11-19
PIT,2018-09-24,13,Mon,3,3,@,TAM,W 30-27,13,155,9,80,22,235,PIT_TAM_2018-09-24
DEN,2018-09-23,13,Sun,3,3,@,BAL,L 14-27,13,120,7,52,20,172,DEN_BAL_2018-09-23
PHI,2022-12-04,12,Sun,12,13,,TEN,W 35-10,12,80,7,82,19,162,PHI_TEN_2022-12-04
ARI,2022-11-06,12,Sun,9,9,,SEA,L 21-31,12,77,6,34,18,111,ARI_SEA_2022-11-06
DEN,2022-10-30,12,Sun,8,8,@,JAX,W 21-17,12,80,5,54,17,134,DEN_JAX_2022-10-30
NWE,2022-10-16,12,Sun,6,6,@,CLE,W 38-15,12,92,7,63,19,155,NWE_CLE_2022-10-16
SEA,2022-10-09,12,Sun,5,5,@,NOR,L 32-39,12,85,6,57,18,142,SEA_NOR_2022-10-09
ARI,2022-09-18,12,Sun,2,2,@,LVR,W 29-23 (OT),12,120,10,68,22,188,ARI_LVR_2022-09-18
DEN,2022-09-12,12,Mon,1,1,@,SEA,L 16-17,12,106,5,77,17,183,DEN_SEA_2022-09-12
SFO,2022-09-11,12,Sun,1,1,@,CHI,L 10-19,12,99,3,24,15,123,SFO_CHI_2022-09-11
LAC,2021-11-21,12,Sun,10,11,,PIT,W 41-37,12,75,8,38,20,113,LAC_PIT_2021-11-21
CHI,2021-11-08,12,Mon,9,9,@,PIT,L 27-29,12,115,5,30,17,145,CHI_PIT_2021-11-08
LAR,2021-11-07,12,Sun,9,9,,TEN,L 16-28,12,115,4,19,16,134,LAR_TEN_2021-11-07
BUF,2021-11-07,12,Sun,8,9,@,JAX,L 6-9,12,118,8,54,20,172,BUF_JAX_2021-11-07
KAN,2021-11-01,12,Mon,8,8,,NYG,W 20-17,12,103,10,88,22,191,KAN_NYG_2021-11-01
JAX,2021-10-31,12,Sun,7,8,@,SEA,L 7-31,12,93,5,40,17,133,JAX_SEA_2021-10-31
DAL,2021-10-17,12,Sun,6,6,@,NWE,W 35-29 (OT),12,115,5,47,17,162,DAL_NWE_2021-10-17
LAC,2021-09-19,12,Sun,2,2,,DAL,L 17-20,12,99,8,76,20,175,LAC_DAL_2021-09-19
MIN,2021-09-12,12,Sun,1,1,@,CIN,L 24-27 (OT),12,116,3,15,15,131,MIN_CIN_2021-09-12
ATL,2021-09-12,12,Sun,1,1,,PHI,L 6-32,12,99,14,89,26,188,ATL_PHI_2021-09-12
