Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,game_id
BAL,2019-09-08,59,Sun,1,1,@,MIA,W 59-10,59,10,49,69,BAL_MIA_2019-09-08
DAL,2021-12-26,56,Sun,15,16,,WAS,W 56-14,56,14,42,70,DAL_WAS_2021-12-26
BUF,2021-01-03,56,Sun,16,17,,MIA,W 56-26,56,26,30,82,BUF_MIA_2021-01-03
TAM,2019-09-29,55,Sun,4,4,@,LAR,W 55-40,55,40,15,95,TAM_LAR_2019-09-29
DAL,2022-12-04,54,Sun,12,13,,IND,W 54-19,54,19,35,73,DAL_IND_2022-12-04
NWE,2021-10-24,54,Sun,7,7,,NYJ,W 54-13,54,13,41,67,NWE_NYJ_2021-10-24
LAR,2018-11-19,54,Mon,11,11,,KAN,W 54-51,54,51,3,105,LAR_KAN_2018-11-19
HOU,2019-10-06,53,Sun,5,5,,ATL,W 53-32,53,32,21,85,HOU_ATL_2019-10-06
NOR,2020-12-25,52,Fri,15,16,,MIN,W 52-33,52,33,19,85,NOR_MIN_2020-12-25
PIT,2018-11-08,52,Thu,9,10,,CAR,W 52-21,52,21,31,73,PIT_CAR_2018-11-08
LAR,2022-12-25,51,Sun,15,16,,DEN,W 51-14,51,14,37,65,LAR_DEN_2022-12-25
DAL,2022-01-08,51,Sat,17,18,@,PHI,W 51-26,51,26,25,77,DAL_PHI_2022-01-08
SEA,2022-01-02,51,Sun,16,17,,DET,W 51-29,51,29,22,80,SEA_DET_2022-01-02
SFO,2019-10-27,51,Sun,7,8,,CAR,W 51-13,51,13,38,64,SFO_CAR_2019-10-27
KAN,2018-11-19,51,Mon,11,11,@,LAR,L 51-54,51,54,-3,105,KAN_LAR_2018-11-19
NOR,2018-11-11,51,Sun,9,10,@,CIN,W 51-14,51,14,37,65,NOR_CIN_2018-11-11
NWE,2022-01-02,50,Sun,16,17,,JAX,W 50-10,50,10,40,60,NWE_JAX_2022-01-02
DAL,2022-10-30,49,Sun,8,8,,CHI,W 49-29,49,29,20,78,DAL_CHI_2022-10-30
CLE,2020-10-04,49,Sun,4,4,@,DAL,W 49-38,49,38,11,87,CLE_DAL_2020-10-04
BAL,2019-11-10,49,Sun,9,10,@,CIN,W 49-13,49,13,36,62,BAL_CIN_2019-11-10
PHI,2022-12-11,48,Sun,13,14,@,NYG,W 48-22,48,22,26,70,PHI_NYG_2022-12-11
SEA,2022-10-02,48,Sun,4,4,@,DET,W 48-45,48,45,3,93,SEA_DET_2022-10-02
KAN,2021-12-12,48,Sun,13,14,,LVR,W 48-9,48,9,39,57,KAN_LVR_2021-12-12
TAM,2021-09-19,48,Sun,2,2,,ATL,W 48-25,48,25,23,73,TAM_ATL_2021-09-19
BUF,2020-12-19,48,Sat,14,15,@,DEN,W 48-19,48,19,29,67,BUF_DEN_2020-12-19
SFO,2019-12-08,48,Sun,13,14,@,NOR,W 48-46,48,46,2,94,SFO_NOR_2019-12-08
LAR,2018-12-30,48,Sun,16,17,,SFO,W 48-32,48,32,16,80,LAR_SFO_2018-12-30
NOR,2018-11-18,48,Sun,10,11,,PHI,W 48-7,48,7,41,55,NOR_PHI_2018-11-18
CHI,2018-09-30,48,Sun,4,4,,TAM,W 48-10,48,10,38,58,CHI_TAM_2018-09-30
NYJ,2018-09-10,48,Mon,1,1,@,DET,W 48-17,48,17,31,65,NYJ_DET_2018-09-10
TAM,2018-09-09,48,Sun,1,1,@,NOR,W 48-40,48,40,8,88,TAM_NOR_2018-09-09
LAC,2021-10-10,47,Sun,5,5,,CLE,W 47-42,47,42,5,89,LAC_CLE_2021-10-10
TAM,2020-12-26,47,Sat,15,16,@,DET,W 47-7,47,7,40,54,TAM_DET_2020-12-26
BAL,2020-12-14,47,Mon,13,14,@,CLE,W 47-42,47,42,5,89,BAL_CLE_2020-12-14
DAL,2019-12-29,47,Sun,16,17,,WAS,W 47-16,47,16,31,63,DAL_WAS_2019-12-29
BAL,2018-09-09,47,Sun,1,1,,BUF,W 47-3,47,3,44,50,BAL_BUF_2018-09-09
TEN,2020-12-20,46,Sun,14,15,,DET,W 46-25,46,25,21,71,TEN_DET_2020-12-20
TAM,2020-11-15,46,Sun,10,10,@,CAR,W 46-23,46,23,23,69,TAM_CAR_2020-11-15
NOR,2019-12-08,46,Sun,13,14,,SFO,L 46-48,46,48,-2,94,NOR_SFO_2019-12-08
DET,2022-10-02,45,Sun,4,4,,SEA,L 45-48,45,48,-3,93,DET_SEA_2022-10-02
GNB,2021-12-12,45,Sun,13,14,,CHI,W 45-30,45,30,15,75,GNB_CHI_2021-12-12
NWE,2021-11-14,45,Sun,10,10,,CLE,W 45-7,45,7,38,52,NWE_CLE_2021-11-14
BUF,2021-11-14,45,Sun,9,10,@,NYJ,W 45-17,45,17,28,62,BUF_NYJ_2021-11-14
