Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,game_id
BAL,2021-01-03,54,Sun,16,17,@,CIN,W 38-3,54,404,7.5,2,BAL_CIN_2021-01-03
BAL,2018-11-18,53,Sun,10,11,,CIN,W 24-21,53,267,5.0,2,BAL_CIN_2018-11-18
PHI,2022-10-02,50,Sun,4,4,,JAX,W 29-21,50,210,4.2,4,PHI_JAX_2022-10-02
PHI,2021-11-21,50,Sun,11,11,,NOR,W 40-29,50,242,4.8,3,PHI_NOR_2021-11-21
PHI,2022-11-27,49,Sun,11,12,,GNB,W 40-33,49,363,7.4,3,PHI_GNB_2022-11-27
WAS,2022-11-14,49,Mon,10,10,@,PHI,W 32-21,49,152,3.1,2,WAS_PHI_2022-11-14
BAL,2018-12-16,49,Sun,14,15,,TAM,W 20-12,49,242,4.9,1,BAL_TAM_2018-12-16
BAL,2018-12-02,49,Sun,12,13,@,ATL,W 26-16,49,207,4.2,1,BAL_ATL_2018-12-02
NOR,2022-10-09,48,Sun,5,5,,SEA,W 39-32,48,235,4.9,3,NOR_SEA_2022-10-09
IND,2021-12-05,48,Sun,13,13,@,HOU,W 31-0,48,238,5.0,3,IND_HOU_2021-12-05
BAL,2019-11-25,48,Mon,11,12,@,LAR,W 45-6,48,285,5.9,1,BAL_LAR_2019-11-25
NYG,2022-11-13,47,Sun,9,10,,HOU,W 24-16,47,191,4.1,1,NYG_HOU_2022-11-13
CAR,2022-11-10,47,Thu,10,10,,ATL,W 25-15,47,232,4.9,2,CAR_ATL_2022-11-10
CAR,2021-10-31,47,Sun,8,8,@,ATL,W 19-13,47,203,4.3,1,CAR_ATL_2021-10-31
BAL,2020-11-01,47,Sun,7,8,,PIT,L 24-28,47,265,5.6,1,BAL_PIT_2020-11-01
BUF,2019-11-24,47,Sun,11,12,,DEN,W 20-3,47,244,5.2,0,BUF_DEN_2019-11-24
