Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,game_id
CIN,2021-01-03,54,Sun,16,17,,BAL,L 3-38,54,404,7.5,2,CIN_BAL_2021-01-03
BAL,2017-10-15,54,Sun,6,6,,CHI,L 24-27 (OT),54,231,4.3,0,BAL_CHI_2017-10-15
CIN,2018-11-18,53,Sun,10,11,@,BAL,L 21-24,53,267,5.0,2,CIN_BAL_2018-11-18
IND,2017-12-10,51,Sun,13,14,@,BUF,L 7-13 (OT),51,227,4.5,1,IND_BUF_2017-12-10
JAX,2022-10-02,50,Sun,4,4,@,PHI,L 21-29,50,210,4.2,4,JAX_PHI_2022-10-02
NOR,2021-11-21,50,Sun,10,11,@,PHI,L 29-40,50,242,4.8,3,NOR_PHI_2021-11-21
GNB,2022-11-27,49,Sun,12,12,@,PHI,L 33-40,49,363,7.4,3,GNB_PHI_2022-11-27
PHI,2022-11-14,49,Mon,9,10,,WAS,L 21-32,49,152,3.1,2,PHI_WAS_2022-11-14
TAM,2018-12-16,49,Sun,14,15,@,BAL,L 12-20,49,242,4.9,1,TAM_BAL_2018-12-16
ATL,2018-12-02,49,Sun,12,13,,BAL,L 16-26,49,207,4.2,1,ATL_BAL_2018-12-02
KAN,2017-12-03,49,Sun,12,13,@,NYJ,L 31-38,49,157,3.2,3,KAN_NYJ_2017-12-03
SEA,2022-10-09,48,Sun,5,5,@,NOR,L 32-39,48,235,4.9,3,SEA_NOR_2022-10-09
HOU,2021-12-05,48,Sun,12,13,,IND,L 0-31,48,238,5.0,3,HOU_IND_2021-12-05
LAR,2019-11-25,48,Mon,11,12,,BAL,L 6-45,48,285,5.9,1,LAR_BAL_2019-11-25
BUF,2017-11-12,48,Sun,9,10,,NOR,L 10-47,48,298,6.2,6,BUF_NOR_2017-11-12
HOU,2022-11-13,47,Sun,9,10,@,NYG,L 16-24,47,191,4.1,1,HOU_NYG_2022-11-13
ATL,2022-11-10,47,Thu,10,10,@,CAR,L 15-25,47,232,4.9,2,ATL_CAR_2022-11-10
ATL,2021-10-31,47,Sun,7,8,,CAR,L 13-19,47,203,4.3,1,ATL_CAR_2021-10-31
PIT,2020-11-01,47,Sun,7,8,@,BAL,W 28-24,47,265,5.6,1,PIT_BAL_2020-11-01
DEN,2019-11-24,47,Sun,11,12,@,BUF,L 3-20,47,244,5.2,0,DEN_BUF_2019-11-24
CLE,2018-12-30,47,Sun,16,17,@,BAL,L 24-26,47,296,6.3,2,CLE_BAL_2018-12-30
BUF,2018-12-23,47,Sun,15,16,@,NWE,L 12-24,47,273,5.8,2,BUF_NWE_2018-12-23
CIN,2018-11-11,47,Sun,9,10,,NOR,L 14-51,47,244,5.2,3,CIN_NOR_2018-11-11
SEA,2022-12-11,46,Sun,13,14,,CAR,L 24-30,46,223,4.8,2,SEA_CAR_2022-12-11
DEN,2022-11-27,46,Sun,11,12,@,CAR,L 10-23,46,185,4.0,1,DEN_CAR_2022-11-27
ATL,2022-01-09,46,Sun,17,18,,NOR,L 20-30,46,195,4.2,0,ATL_NOR_2022-01-09
BUF,2021-12-06,46,Mon,12,13,,NWE,L 10-14,46,222,4.8,1,BUF_NWE_2021-12-06
BUF,2021-11-21,46,Sun,10,11,,IND,L 15-41,46,264,5.7,4,BUF_IND_2021-11-21
DET,2021-10-31,46,Sun,8,8,,PHI,L 6-44,46,236,5.1,4,DET_PHI_2021-10-31
BUF,2020-10-19,46,Mon,6,6,,KAN,L 17-26,46,245,5.3,1,BUF_KAN_2020-10-19
MIA,2019-09-08,46,Sun,1,1,,BAL,L 10-59,46,265,5.8,2,MIA_BAL_2019-09-08
NYJ,2018-11-11,46,Sun,10,10,,BUF,L 10-41,46,212,4.6,2,NYJ_BUF_2018-11-11
IND,2017-12-14,46,Thu,14,15,,DEN,L 13-25,46,211,4.6,1,IND_DEN_2017-12-14
BUF,2017-12-10,46,Sun,13,14,,IND,W 13-7 (OT),46,163,3.5,0,BUF_IND_2017-12-10
CAR,2022-12-18,45,Sun,14,15,,PIT,L 16-24,45,156,3.5,3,CAR_PIT_2022-12-18
HOU,2022-10-30,45,Sun,7,8,,TEN,L 10-17,45,314,7.0,2,HOU_TEN_2022-10-30
