Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,game_id
BAL,2019-09-08,643,Sun,1,1,@,MIA,W 59-10,643,73,8.81,47,4.26,0,40:07,2:58,BAL_MIA_2019-09-08
TEN,2020-10-18,607,Sun,5,6,,HOU,W 42-36 (OT),607,70,8.67,67,6.15,2,31:50,3:12,TEN_HOU_2020-10-18
HOU,2019-10-06,592,Sun,5,5,,ATL,W 53-32,592,67,8.84,68,5.49,1,31:00,3:13,HOU_ATL_2019-10-06
TAM,2020-12-26,588,Sat,15,16,@,DET,W 47-7,588,70,8.40,50,3.72,0,35:53,3:02,TAM_DET_2020-12-26
NOR,2020-12-25,583,Fri,15,16,,MIN,W 52-33,583,73,7.99,60,6.07,2,36:47,3:11,NOR_MIN_2020-12-25
LVR,2022-11-27,576,Sun,11,12,@,SEA,W 40-34 (OT),576,77,7.48,63,5.90,2,37:35,3:30,LVR_SEA_2022-11-27
DAL,2018-12-09,576,Sun,13,14,,PHI,W 29-23 (OT),576,93,6.19,48,5.33,3,45:33,3:28,DAL_PHI_2018-12-09
TAM,2018-10-28,576,Sun,7,8,@,CIN,L 34-37,576,83,6.94,63,6.38,4,35:59,3:23,TAM_CIN_2018-10-28
CIN,2021-12-26,575,Sun,15,16,,BAL,W 41-21,575,70,8.21,57,5.86,0,37:03,3:02,CIN_BAL_2021-12-26
SEA,2020-10-25,572,Sun,6,7,@,ARI,L 34-37 (OT),572,82,6.98,81,6.41,3,39:32,3:52,SEA_ARI_2020-10-25
MIN,2021-10-17,571,Sun,6,6,@,CAR,W 34-28 (OT),571,84,6.80,68,4.50,1,37:38,3:41,MIN_CAR_2021-10-17
SFO,2019-09-15,571,Sun,2,2,@,CIN,W 41-17,571,68,8.40,65,4.86,1,32:19,2:59,SFO_CIN_2019-09-15
CAR,2022-12-24,570,Sat,15,16,,DET,W 37-23,570,65,8.77,61,6.25,0,35:13,3:07,CAR_DET_2022-12-24
DAL,2020-09-20,570,Sun,2,2,,ATL,W 40-39,570,81,7.04,72,5.28,3,26:12,3:34,DAL_ATL_2020-09-20
DAL,2021-10-17,567,Sun,6,6,@,NWE,W 35-29 (OT),567,82,6.91,50,6.70,2,39:17,3:25,DAL_NWE_2021-10-17
DAL,2020-10-04,566,Sun,4,4,,CLE,L 38-49,566,79,7.16,73,6.96,3,26:28,3:20,DAL_CLE_2020-10-04
OAK,2018-09-30,565,Sun,4,4,,CLE,W 45-42 (OT),565,90,6.28,74,6.58,2,36:51,4:04,OAK_CLE_2018-09-30
DAL,2019-10-06,563,Sun,5,5,,GNB,L 24-34,563,68,8.28,65,5.15,3,23:17,3:31,DAL_GNB_2019-10-06
TAM,2021-10-10,558,Sun,5,5,,MIA,W 45-17,558,71,7.86,51,5.90,0,37:07,2:58,TAM_MIA_2021-10-10
LAR,2018-09-27,556,Thu,4,4,,MIN,W 38-31,556,55,10.11,71,6.28,0,27:46,3:07,LAR_MIN_2018-09-27
SEA,2022-10-02,555,Sun,4,4,@,DET,W 48-45,555,63,8.81,66,7.88,1,33:06,3:29,SEA_DET_2022-10-02
