Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,game_id
MIA,2019-09-08,643,Sun,1,1,,BAL,L 10-59,643,0,MIA_BAL_2019-09-08
HOU,2020-10-18,607,Sun,6,6,@,TEN,L 36-42 (OT),607,2,HOU_TEN_2020-10-18
ATL,2019-10-06,592,Sun,5,5,@,HOU,L 32-53,592,1,ATL_HOU_2019-10-06
DET,2020-12-26,588,Sat,15,16,,TAM,L 7-47,588,0,DET_TAM_2020-12-26
MIN,2020-12-25,583,Fri,15,16,@,NOR,L 33-52,583,2,MIN_NOR_2020-12-25
SEA,2022-11-27,576,Sun,11,12,,LVR,L 34-40 (OT),576,2,SEA_LVR_2022-11-27
PHI,2018-12-09,576,Sun,13,14,@,DAL,L 23-29 (OT),576,3,PHI_DAL_2018-12-09
CIN,2018-10-28,576,Sun,8,8,,TAM,W 37-34,576,4,CIN_TAM_2018-10-28
BAL,2021-12-26,575,Sun,15,16,@,CIN,L 21-41,575,0,BAL_CIN_2021-12-26
ARI,2020-10-25,572,Sun,7,7,,SEA,W 37-34 (OT),572,3,ARI_SEA_2020-10-25
CAR,2021-10-17,571,Sun,6,6,,MIN,L 28-34 (OT),571,1,CAR_MIN_2021-10-17
CIN,2019-09-15,571,Sun,2,2,,SFO,L 17-41,571,1,CIN_SFO_2019-09-15
DET,2022-12-24,570,Sat,15,16,@,CAR,L 23-37,570,0,DET_CAR_2022-12-24
ATL,2020-09-20,570,Sun,2,2,@,DAL,L 39-40,570,3,ATL_DAL_2020-09-20
NWE,2021-10-17,567,Sun,6,6,,DAL,L 29-35 (OT),567,2,NWE_DAL_2021-10-17
CLE,2020-10-04,566,Sun,4,4,@,DAL,W 49-38,566,3,CLE_DAL_2020-10-04
CLE,2018-09-30,565,Sun,4,4,@,OAK,L 42-45 (OT),565,2,CLE_OAK_2018-09-30
GNB,2019-10-06,563,Sun,5,5,@,DAL,W 34-24,563,3,GNB_DAL_2019-10-06
MIA,2021-10-10,558,Sun,5,5,@,TAM,L 17-45,558,0,MIA_TAM_2021-10-10
MIN,2018-09-27,556,Thu,4,4,@,LAR,L 31-38,556,0,MIN_LAR_2018-09-27
DET,2022-10-02,555,Sun,4,4,,SEA,L 45-48,555,1,DET_SEA_2022-10-02
NOR,2017-09-17,555,Sun,2,2,,NWE,L 20-36,555,0,NOR_NWE_2017-09-17
