,season,team,line,over_odds,under_odds
544,2020,ARI,7.5,-120,-110
545,2020,ATL,7.5,-130,100
546,2020,BAL,11.5,-115,-115
547,2020,BUF,9.0,-140,110
548,2020,CAR,5.5,-110,-120
549,2020,CHI,8.5,130,-160
550,2020,CIN,5.5,-120,-110
551,2020,CLE,8.5,-135,105
552,2020,DAL,9.5,-115,125
553,2020,DEN,7.5,-135,105
554,2020,DET,6.5,-130,100
555,2020,GB,9.0,-125,0
556,2020,HOU,7.5,-110,-120
557,2020,IND,9.0,-125,-105
558,2020,JAX,4.5,-120,-110
559,2020,KC,11.5,-145,115
560,2020,LA,8.5,-105,-125
561,2020,LAC,7.5,-130,100
562,2020,LV,7.5,-105,-125
563,2020,MIA,6.5,-110,-120
564,2020,MIN,9.0,-105,-125
565,2020,NE,9.0,100,-130
566,2020,NO,10.5,-115,-115
567,2020,NYG,6.5,100,-130
568,2020,NYJ,7.0,-140,110
569,2020,PHI,9.5,-125,-105
570,2020,PIT,9.5,110,-140
571,2020,SEA,9.0,-140,110
572,2020,SF,10.5,-125,-105
573,2020,TB,9.5,-140,110
574,2020,TEN,8.5,-125,-105
575,2020,WAS,5.5,100,-130
