,game_id,season,week,team,opponent,score,home,ewma_dynamic_window_rushing_offense_team,ewma_dynamic_window_passing_offense_team,ewma_dynamic_window_rushing_defense_team,ewma_dynamic_window_passing_defense_team,ewma_dynamic_window_rushing_offense_opp,ewma_dynamic_window_passing_offense_opp,ewma_dynamic_window_rushing_defense_opp,ewma_dynamic_window_passing_defense_opp,team_id,rest_differential,windy,div_game,spread_line,total_line,game_type,location,total,implied_points
0,2003_01_ARI_DET,2003,1,DET,ARI,42,1,,,,,,,,,2003_01_ARI_DET_H,0,0,0,3.5,39.0,REG,Home,66.0,21.25
1,2003_01_ARI_DET,2003,1,ARI,DET,24,0,,,,,,,,,2003_01_ARI_DET_A,0,0,0,-3.5,39.0,REG,Home,66.0,17.75
2,2003_01_ATL_DAL,2003,1,DAL,ATL,13,1,,,,,,,,,2003_01_ATL_DAL_H,0,0,0,2.0,36.5,REG,Home,40.0,19.25
3,2003_01_ATL_DAL,2003,1,ATL,DAL,27,0,,,,,,,,,2003_01_ATL_DAL_A,0,0,0,-2.0,36.5,REG,Home,40.0,17.25
4,2003_01_BAL_PIT,2003,1,PIT,BAL,34,1,,,,,,,,,2003_01_BAL_PIT_H,0,0,1,4.0,38.5,REG,Home,49.0,21.25
5,2003_01_BAL_PIT,2003,1,BAL,PIT,15,0,,,,,,,,,2003_01_BAL_PIT_A,0,0,1,-4.0,38.5,REG,Home,49.0,17.25
6,2003_01_CHI_SF,2003,1,SF,CHI,49,1,,,,,,,,,2003_01_CHI_SF_H,0,1,0,6.5,40.5,REG,Home,56.0,23.5
7,2003_01_CHI_SF,2003,1,CHI,SF,7,0,,,,,,,,,2003_01_CHI_SF_A,0,1,0,-6.5,40.5,REG,Home,56.0,17.0
8,2003_01_DEN_CIN,2003,1,CIN,DEN,10,1,,,,,,,,,2003_01_DEN_CIN_H,0,0,0,-6.0,43.5,REG,Home,40.0,18.75
9,2003_01_DEN_CIN,2003,1,DEN,CIN,30,0,,,,,,,,,2003_01_DEN_CIN_A,0,0,0,6.0,43.5,REG,Home,40.0,24.75
10,2003_01_HOU_MIA,2003,1,MIA,HOU,20,1,,,,,,,,,2003_01_HOU_MIA_H,0,0,0,14.0,34.5,REG,Home,41.0,24.25
11,2003_01_HOU_MIA,2003,1,HOU,MIA,21,0,,,,,,,,,2003_01_HOU_MIA_A,0,0,0,-14.0,34.5,REG,Home,41.0,10.25
12,2003_01_IND_CLE,2003,1,CLE,IND,6,1,,,,,,,,,2003_01_IND_CLE_H,0,0,0,-2.0,48.0,REG,Home,15.0,23.0
13,2003_01_IND_CLE,2003,1,IND,CLE,9,0,,,,,,,,,2003_01_IND_CLE_A,0,0,0,2.0,48.0,REG,Home,15.0,25.0
14,2003_01_JAX_CAR,2003,1,CAR,JAX,24,1,,,,,,,,,2003_01_JAX_CAR_H,0,0,0,4.0,34.5,REG,Home,47.0,19.25
15,2003_01_JAX_CAR,2003,1,JAX,CAR,23,0,,,,,,,,,2003_01_JAX_CAR_A,0,0,0,-4.0,34.5,REG,Home,47.0,15.25
16,2003_01_MIN_GB,2003,1,GB,MIN,25,1,,,,,,,,,2003_01_MIN_GB_H,0,0,1,4.0,47.0,REG,Home,55.0,25.5
17,2003_01_MIN_GB,2003,1,MIN,GB,30,0,,,,,,,,,2003_01_MIN_GB_A,0,0,1,-4.0,47.0,REG,Home,55.0,21.5
18,2003_01_NE_BUF,2003,1,BUF,NE,31,1,,,,,,,,,2003_01_NE_BUF_H,0,0,1,1.0,44.5,REG,Home,31.0,22.75
19,2003_01_NE_BUF,2003,1,NE,BUF,0,0,,,,,,,,,2003_01_NE_BUF_A,0,0,1,-1.0,44.5,REG,Home,31.0,21.75
20,2003_01_NO_SEA,2003,1,SEA,NO,27,1,,,,,,,,,2003_01_NO_SEA_H,0,0,0,3.0,48.5,REG,Home,37.0,25.75
21,2003_01_NO_SEA,2003,1,NO,SEA,10,0,,,,,,,,,2003_01_NO_SEA_A,0,0,0,-3.0,48.5,REG,Home,37.0,22.75
22,2003_01_NYJ_WAS,2003,1,WAS,NYJ,16,1,,,,,,,,,2003_01_NYJ_WAS_H,0,0,0,3.0,40.0,REG,Home,29.0,21.5
23,2003_01_NYJ_WAS,2003,1,NYJ,WAS,13,0,,,,,,,,,2003_01_NYJ_WAS_A,0,0,0,-3.0,40.0,REG,Home,29.0,18.5
