,index,game_id,line
0,3609,2020_01_ARI_SF,-6.5
1,3595,2020_01_CHI_DET,-3.0
2,3588,2020_01_CLE_BAL,-8.0
3,3611,2020_01_DAL_LA,3.0
4,3599,2020_01_GB_MIN,-2.5
5,3585,2020_01_HOU_KC,-9.0
6,3597,2020_01_IND_JAX,8.0
7,3604,2020_01_LAC_CIN,3.0
8,3592,2020_01_LV_CAR,3.0
9,3601,2020_01_MIA_NE,-6.5
10,3590,2020_01_NYJ_BUF,-6.5
11,3603,2020_01_PHI_WAS,5.5
12,3612,2020_01_PIT_NYG,6.0
13,3586,2020_01_SEA_ATL,2.5
14,3606,2020_01_TB_NO,-3.5
15,3614,2020_01_TEN_DEN,2.5
16,3621,2020_02_ATL_DAL,-4.5
17,3641,2020_02_BAL_HOU,7.0
18,3627,2020_02_BUF_MIA,5.5
19,3635,2020_02_CAR_TB,-9.0
20,3617,2020_02_CIN_CLE,-6.0
21,3633,2020_02_DEN_PIT,-7.0
22,3623,2020_02_DET_GB,-6.0
23,3637,2020_02_JAX_TEN,-8.5
24,3643,2020_02_KC_LAC,8.5
25,3631,2020_02_LA_PHI,-1.0
26,3624,2020_02_MIN_IND,-3.0
27,3645,2020_02_NE_SEA,-4.0
28,3646,2020_02_NO_LV,5.5
29,3618,2020_02_NYG_CHI,-5.5
30,3628,2020_02_SF_NYJ,6.5
31,3638,2020_02_WAS_ARI,-6.5
32,3669,2020_03_CAR_LAC,-6.5
33,3650,2020_03_CHI_ATL,-3.0
34,3663,2020_03_CIN_PHI,-5.0
35,3675,2020_03_DAL_SEA,-5.0
36,3670,2020_03_DET_ARI,-5.5
37,3677,2020_03_GB_NO,-3.0
38,3665,2020_03_HOU_PIT,-4.0
39,3678,2020_03_KC_BAL,-3.5
40,3652,2020_03_LA_BUF,-2.5
41,3659,2020_03_LV_NE,-6.5
42,3648,2020_03_MIA_JAX,-3.0
43,3666,2020_03_NYJ_IND,-11.0
44,3660,2020_03_SF_NYG,4.0
45,3672,2020_03_TB_DEN,6.0
46,3656,2020_03_TEN_MIN,2.5
47,3654,2020_03_WAS_CLE,-7.0
48,3683,2020_04_ARI_CAR,3.5
49,3707,2020_04_ATL_GB,-7.0
50,3699,2020_04_BAL_WAS,13.0
51,3703,2020_04_BUF_LV,3.0
52,3689,2020_04_CLE_DAL,-4.5
53,3681,2020_04_DEN_NYJ,0.0
54,3684,2020_04_IND_CHI,2.5
55,3686,2020_04_JAX_CIN,-3.0
56,3697,2020_04_LAC_TB,-7.0
57,3692,2020_04_MIN_HOU,-4.5
58,3708,2020_04_NE_KC,-7.0
59,3690,2020_04_NO_DET,4.0
60,3700,2020_04_NYG_LA,-12.5
61,3705,2020_04_PHI_SF,-7.0
62,3694,2020_04_SEA_MIA,6.5
63,3721,2020_05_ARI_NYJ,7.0
64,3712,2020_05_CAR_ATL,-1.5
65,3714,2020_05_CIN_BAL,-12.5
66,3728,2020_05_IND_CLE,1.5
67,3716,2020_05_JAX_HOU,-6.0
68,3735,2020_05_LAC_NO,-7.5
69,3718,2020_05_LV_KC,-12.5
70,3727,2020_05_MIA_SF,-8.5
71,3733,2020_05_MIN_SEA,-7.0
72,3730,2020_05_NYG_DAL,-9.5
73,3723,2020_05_PHI_PIT,-2.5
74,3724,2020_05_PHI_PIT,-7.0
75,3725,2020_05_PHI_PIT,2.5
76,3710,2020_05_TB_CHI,3.5
77,3761,2020_06_ARI_DAL,2.0
78,3743,2020_06_ATL_MIN,-3.5
79,3747,2020_06_BAL_PHI,7.5
80,3736,2020_06_CHI_CAR,-1.5
81,3739,2020_06_CIN_IND,-7.5
82,3749,2020_06_CLE_PIT,-3.0
83,3757,2020_06_DEN_NE,-10.0
84,3741,2020_06_DET_JAX,3.0
85,3753,2020_06_GB_TB,0.0
86,3751,2020_06_HOU_TEN,-3.0
87,3762,2020_06_KC_BUF,3.5
88,3755,2020_06_LA_SF,3.0
89,3758,2020_06_NYJ_MIA,-8.5
90,3744,2020_06_WAS_NYG,-2.5
91,3775,2020_07_BUF_NYJ,13.0
92,3773,2020_07_CAR_NO,-7.5
93,3791,2020_07_CHI_LA,-6.0
94,3768,2020_07_CLE_CIN,3.0
95,3777,2020_07_DAL_WAS,0.0
96,3766,2020_07_DET_ATL,-2.5
97,3771,2020_07_GB_HOU,3.5
98,3789,2020_07_JAX_LAC,-8.0
99,3780,2020_07_KC_DEN,9.5
100,3765,2020_07_NYG_PHI,-4.5
101,3787,2020_07_PIT_TEN,-1.0
102,3778,2020_07_SEA_ARI,3.5
103,3782,2020_07_SF_NE,-2.0
104,3784,2020_07_TB_LV,3.5
105,3793,2020_08_ATL_CAR,-2.5
106,3813,2020_08_DAL_PHI,-7.5
107,3800,2020_08_IND_DET,2.5
108,3816,2020_08_LAC_DEN,3.0
109,3807,2020_08_LA_MIA,3.5
110,3798,2020_08_LV_CLE,-2.5
111,3802,2020_08_MIN_GB,-6.5
112,3794,2020_08_NE_BUF,-3.5
113,3808,2020_08_NO_CHI,4.5
114,3804,2020_08_NYJ_KC,-19.5
115,3814,2020_08_PIT_BAL,-4.0
116,3810,2020_08_SF_SEA,-3.0
117,3818,2020_08_TB_NYG,10.5
118,3796,2020_08_TEN_CIN,5.5
119,3827,2020_09_BAL_IND,2.5
120,3831,2020_09_CAR_KC,-10.5
121,3835,2020_09_CHI_TEN,-5.5
122,3822,2020_09_DEN_ATL,-3.5
123,3833,2020_09_DET_MIN,-5.5
124,3821,2020_09_GB_SF,6.5
125,3829,2020_09_HOU_JAX,7.0
126,3838,2020_09_LV_LAC,0.0
127,3840,2020_09_MIA_ARI,-5.0
128,3847,2020_09_NE_NYJ,7.0
129,3845,2020_09_NO_TB,-4.5
130,3837,2020_09_NYG_WAS,-2.5
131,3842,2020_09_PIT_DAL,14.0
132,3824,2020_09_SEA_BUF,3.0
