,game_id,season,week,team,opponent,score,home,ewma_dynamic_window_rushing_offense_team,ewma_dynamic_window_passing_offense_team,ewma_dynamic_window_rushing_defense_team,ewma_dynamic_window_passing_defense_team,ewma_dynamic_window_rushing_offense_opp,ewma_dynamic_window_passing_offense_opp,ewma_dynamic_window_rushing_defense_opp,ewma_dynamic_window_passing_defense_opp,team_id,rest_differential,windy,div_game,spread_line,implied_points,total_line,game_type,location,total
0,2020_01_ARI_SF,2020,1,SF,ARI,20,1,,,,,,,,,2020_01_ARI_SF_H,0,0,1,7.0,20.75,48.5,REG,Home,44.0
1,2020_01_ARI_SF,2020,1,ARI,SF,24,0,,,,,,,,,2020_01_ARI_SF_A,0,0,1,-7.0,27.75,48.5,REG,Home,44.0
2,2020_01_CHI_DET,2020,1,DET,CHI,23,1,,,,,,,,,2020_01_CHI_DET_H,0,0,1,2.5,20.0,42.5,REG,Home,50.0
3,2020_01_CHI_DET,2020,1,CHI,DET,27,0,,,,,,,,,2020_01_CHI_DET_A,0,0,1,-2.5,22.5,42.5,REG,Home,50.0
4,2020_01_CLE_BAL,2020,1,BAL,CLE,38,1,,,,,,,,,2020_01_CLE_BAL_H,0,0,1,7.0,20.0,47.0,REG,Home,44.0
5,2020_01_CLE_BAL,2020,1,CLE,BAL,6,0,,,,,,,,,2020_01_CLE_BAL_A,0,0,1,-7.0,27.0,47.0,REG,Home,44.0
6,2020_01_DAL_LA,2020,1,LA,DAL,20,1,,,,,,,,,2020_01_DAL_LA_H,0,0,0,1.0,25.5,52.0,REG,Home,37.0
7,2020_01_DAL_LA,2020,1,DAL,LA,17,0,,,,,,,,,2020_01_DAL_LA_A,0,0,0,-1.0,26.5,52.0,REG,Home,37.0
8,2020_01_GB_MIN,2020,1,MIN,GB,34,1,,,,,,,,,2020_01_GB_MIN_H,0,0,1,1.0,22.0,45.0,REG,Home,77.0
9,2020_01_GB_MIN,2020,1,GB,MIN,43,0,,,,,,,,,2020_01_GB_MIN_A,0,0,1,-1.0,23.0,45.0,REG,Home,77.0
