Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,Season,game_id
IND,2022-12-04,8,Sun,13,13,@,DAL,L 19-54,8,7,6,0,0,0,2022,2022_13_IND_DAL
MIA,2021-01-03,8,Sun,16,17,@,BUF,L 26-56,8,8,8,0,0,0,2020,2020_17_MIA_BUF
MIA,2019-09-08,8,Sun,1,1,,BAL,L 10-59,8,8,8,1,1,0,2019,2019_01_MIA_BAL
CHI,2022-10-30,7,Sun,8,8,@,DAL,L 29-49,7,7,7,0,0,0,2022,2022_08_CHI_DAL
PHI,2022-01-08,7,Sat,17,18,,DAL,L 26-51,7,7,6,1,1,0,2021,2021_18_PHI_DAL
JAX,2022-01-02,7,Sun,16,17,@,NWE,L 10-50,7,6,5,1,1,0,2021,2021_17_JAX_NWE
WAS,2021-12-26,7,Sun,15,16,@,DAL,L 14-56,7,8,8,0,0,0,2021,2021_16_WAS_DAL
NYJ,2021-10-24,7,Sun,6,7,@,NWE,L 13-54,7,7,6,2,2,0,2021,2021_07_NYJ_NWE
CLE,2021-10-10,7,Sun,5,5,@,LAC,L 42-47,7,5,3,0,0,0,2021,2021_05_CLE_LAC
ATL,2021-09-19,7,Sun,2,2,@,TAM,L 25-48,7,7,6,0,0,0,2021,2021_02_ATL_TAM
DET,2020-12-26,7,Sat,15,16,,TAM,L 7-47,7,7,5,1,0,0,2020,2020_16_DET_TAM
MIN,2020-12-25,7,Fri,15,16,@,NOR,L 33-52,7,7,7,1,1,0,2020,2020_16_MIN_NOR
CIN,2019-11-10,7,Sun,9,10,,BAL,L 13-49,7,7,7,0,0,0,2019,2019_10_CIN_BAL
CAR,2019-10-27,7,Sun,7,8,@,SFO,L 13-51,7,6,6,1,1,0,2019,2019_08_CAR_SFO
ATL,2019-10-06,7,Sun,5,5,@,HOU,L 32-53,7,7,5,2,2,0,2019,2019_05_ATL_HOU
LAR,2019-09-29,7,Sun,4,4,,TAM,L 40-55,7,7,7,2,2,0,2019,2019_04_LAR_TAM
LAR,2018-11-19,7,Mon,11,11,,KAN,W 54-51,7,7,6,1,1,0,2018,2018_11_LAR_KAN
KAN,2018-11-19,7,Mon,11,11,@,LAR,L 51-54,7,7,6,2,2,0,2018,2018_11_KAN_LAR
CAR,2018-11-08,7,Thu,9,10,@,PIT,L 21-52,7,7,7,1,1,0,2018,2018_10_CAR_PIT
DEN,2017-11-05,7,Sun,8,9,@,PHI,L 23-51,7,7,6,1,1,0,2017,2017_09_DEN_PHI
DET,2017-10-15,7,Sun,6,6,@,NOR,L 38-52,7,7,7,1,1,0,2017,2017_06_DET_NOR
TEN,2017-10-01,7,Sun,4,4,@,HOU,L 14-57,7,7,6,3,3,0,2017,2017_04_TEN_HOU
DEN,2022-12-25,6,Sun,15,16,@,LAR,L 14-51,6,6,6,3,3,0,2022,2022_16_DEN_LAR
NYG,2022-12-11,6,Sun,13,14,,PHI,L 22-48,6,6,6,2,2,0,2022,2022_14_NYG_PHI
CAR,2022-11-06,6,Sun,9,9,@,CIN,L 21-42,6,6,6,1,0,0,2022,2022_09_CAR_CIN
SFO,2022-10-23,6,Sun,7,7,,KAN,L 23-44,6,6,6,1,0,1,2022,2022_07_SFO_KAN
DET,2022-10-02,6,Sun,4,4,,SEA,L 45-48,6,6,6,3,2,0,2022,2022_04_DET_SEA
SEA,2022-10-02,6,Sun,4,4,@,DET,W 48-45,6,4,2,1,1,0,2022,2022_04_SEA_DET
BAL,2022-09-18,6,Sun,2,2,,MIA,L 38-42,6,6,6,0,0,0,2022,2022_02_BAL_MIA
ARI,2022-09-11,6,Sun,1,1,,KAN,L 21-44,6,6,5,1,1,0,2022,2022_01_ARI_KAN
DET,2022-01-02,6,Sun,16,17,@,SEA,L 29-51,6,6,6,3,3,0,2021,2021_17_DET_SEA
CHI,2021-12-12,6,Sun,13,14,@,GNB,L 30-45,6,6,6,1,1,0,2021,2021_14_CHI_GNB
LVR,2021-12-12,6,Sun,13,14,@,KAN,L 9-48,6,6,6,2,2,0,2021,2021_14_LVR_KAN
NYJ,2021-11-14,6,Sun,9,10,,BUF,L 17-45,6,6,6,1,1,0,2021,2021_10_NYJ_BUF
CLE,2021-11-14,6,Sun,10,10,@,NWE,L 7-45,6,6,6,1,1,0,2021,2021_10_CLE_NWE
NYJ,2021-11-04,6,Thu,8,9,@,IND,L 30-45,6,6,6,1,1,0,2021,2021_09_NYJ_IND
MIA,2021-10-10,6,Sun,5,5,@,TAM,L 17-45,6,6,6,2,1,0,2021,2021_05_MIA_TAM
PHI,2021-10-03,6,Sun,4,4,,KAN,L 30-42,6,6,6,0,0,0,2021,2021_04_PHI_KAN
PHI,2021-09-27,6,Mon,3,3,@,DAL,L 21-41,6,6,5,0,0,0,2021,2021_03_PHI_DAL
TEN,2020-12-27,6,Sun,15,16,@,GNB,L 14-40,6,5,4,0,0,0,2020,2020_16_TEN_GNB
DET,2020-12-20,6,Sun,14,15,@,TEN,L 25-46,6,5,5,1,1,0,2020,2020_15_DET_TEN
DEN,2020-12-19,6,Sat,14,15,,BUF,L 19-48,6,6,6,2,2,0,2020,2020_15_DEN_BUF
CLE,2020-12-14,6,Mon,13,14,,BAL,L 42-47,6,5,4,1,1,1,2020,2020_14_CLE_BAL
BAL,2020-12-14,6,Mon,13,14,@,CLE,W 47-42,6,5,4,1,0,0,2020,2020_14_BAL_CLE
CHI,2020-11-29,6,Sun,11,12,@,GNB,L 25-41,6,6,5,0,0,0,2020,2020_12_CHI_GNB
IND,2020-11-29,6,Sun,11,12,,TEN,L 26-45,6,6,6,1,1,0,2020,2020_12_IND_TEN
DET,2020-11-01,6,Sun,7,8,,IND,L 21-41,6,5,3,0,0,0,2020,2020_08_DET_IND
LVR,2020-10-25,6,Sun,6,7,,TAM,L 20-45,6,6,6,1,1,0,2020,2020_07_LVR_TAM
HOU,2020-10-18,6,Sun,6,6,@,TEN,L 36-42 (OT),6,4,4,2,0,0,2020,2020_06_HOU_TEN
BUF,2020-10-13,6,Tue,5,5,@,TEN,L 16-42,6,6,6,0,0,0,2020,2020_05_BUF_TEN
DAL,2020-10-04,6,Sun,4,4,,CLE,L 38-49,6,5,5,2,2,0,2020,2020_04_DAL_CLE
CAR,2019-12-29,6,Sun,16,17,,NOR,L 10-42,6,6,6,0,0,0,2019,2019_17_CAR_NOR
WAS,2019-12-22,6,Sun,15,16,,NYG,L 35-41 (OT),6,5,5,1,0,0,2019,2019_16_WAS_NYG
NYJ,2019-12-12,6,Thu,14,15,@,BAL,L 21-42,6,5,4,0,0,0,2019,2019_15_NYJ_BAL
JAX,2019-12-08,6,Sun,13,14,,LAC,L 10-45,6,6,6,1,1,0,2019,2019_14_JAX_LAC
SFO,2019-12-08,6,Sun,13,14,@,NOR,W 48-46,6,4,4,2,2,0,2019,2019_14_SFO_NOR
NOR,2019-12-08,6,Sun,13,14,,SFO,L 46-48,6,6,6,2,2,0,2019,2019_14_NOR_SFO
OAK,2019-12-08,6,Sun,13,14,,TEN,L 21-42,6,6,6,1,0,0,2019,2019_14_OAK_TEN
LAR,2019-11-25,6,Mon,11,12,,BAL,L 6-45,6,6,6,1,1,0,2019,2019_12_LAR_BAL
JAX,2019-11-24,6,Sun,11,12,@,TEN,L 20-42,6,6,6,0,0,0,2019,2019_12_JAX_TEN
OAK,2019-10-20,6,Sun,6,7,@,GNB,L 24-42,6,6,6,0,0,0,2019,2019_07_OAK_GNB
