Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Season,game_id
BAL,2021-11-07,36,Sun,8,9,,MIN,W 34-31 (OT),36,17,15,4,15,6,40.0,3,3,100.0,2021,2021_09_BAL_MIN
NOR,2020-12-25,36,Fri,15,16,,MIN,W 52-33,36,21,14,1,9,5,55.6,1,1,100.0,2020,2020_16_NOR_MIN
KAN,2020-11-22,36,Sun,10,11,@,LVR,W 35-31,36,10,22,4,9,5,55.6,2,2,100.0,2020,2020_11_KAN_LVR
LAR,2019-09-29,36,Sun,4,4,,TAM,L 40-55,36,3,27,6,11,4,36.4,1,0,0.0,2019,2019_04_LAR_TAM
DAL,2020-10-04,35,Sun,4,4,,CLE,L 38-49,35,6,29,0,11,6,54.5,2,1,50.0,2020,2020_04_DAL_CLE
HOU,2019-10-13,35,Sun,6,6,@,KAN,W 31-24,35,12,20,3,12,5,41.7,3,2,66.7,2019,2019_06_HOU_KAN
GNB,2018-12-23,35,Sun,15,16,@,NYJ,W 44-38 (OT),35,9,19,7,12,5,41.7,2,2,100.0,2018,2018_16_GNB_NYJ
KAN,2020-12-20,34,Sun,14,15,@,NOR,W 32-29,34,13,16,5,18,9,50.0,0,0,,2020,2020_15_KAN_NOR
WAS,2020-11-15,34,Sun,9,10,@,DET,L 27-30,34,8,22,4,15,7,46.7,2,2,100.0,2020,2020_10_WAS_DET
TAM,2018-10-21,34,Sun,6,7,,CLE,W 26-23 (OT),34,8,20,6,13,6,46.2,1,1,100.0,2018,2018_07_TAM_CLE
KAN,2022-12-18,33,Sun,14,15,@,HOU,W 30-24 (OT),33,11,20,2,12,6,50.0,0,0,,2022,2022_15_KAN_HOU
KAN,2022-09-11,33,Sun,1,1,@,ARI,W 44-21,33,7,22,4,8,5,62.5,1,1,100.0,2022,2022_01_KAN_ARI
IND,2022-09-11,33,Sun,1,1,@,HOU,T 20-20 (OT),33,11,20,2,15,6,40.0,1,0,0.0,2022,2022_01_IND_HOU
CIN,2021-12-26,33,Sun,15,16,,BAL,W 41-21,33,4,26,3,10,5,50.0,2,2,100.0,2021,2021_16_CIN_BAL
LAC,2021-11-21,33,Sun,10,11,,PIT,W 41-37,33,9,19,5,12,7,58.3,1,0,0.0,2021,2021_11_LAC_PIT
TAM,2021-10-10,33,Sun,5,5,,MIA,W 45-17,33,5,26,2,11,8,72.7,0,0,,2021,2021_05_TAM_MIA
KAN,2021-09-26,33,Sun,3,3,,LAC,L 24-30,33,12,17,4,10,6,60.0,0,0,,2021,2021_03_KAN_LAC
TEN,2021-09-19,33,Sun,2,2,@,SEA,W 33-30 (OT),33,11,16,6,14,6,42.9,1,0,0.0,2021,2021_02_TEN_SEA
CLE,2020-12-14,33,Mon,13,14,,BAL,L 42-47,33,10,18,5,12,5,41.7,2,2,100.0,2020,2020_14_CLE_BAL
SEA,2020-10-25,33,Sun,6,7,@,ARI,L 34-37 (OT),33,11,21,1,13,5,38.5,1,1,100.0,2020,2020_07_SEA_ARI
CLE,2020-10-04,33,Sun,4,4,@,DAL,W 49-38,33,16,14,3,11,5,45.5,0,0,,2020,2020_04_CLE_DAL
DAL,2020-09-20,33,Sun,2,2,,ATL,W 40-39,33,9,20,4,13,7,53.8,2,0,0.0,2020,2020_02_DAL_ATL
LAR,2018-12-23,33,Sun,15,16,@,ARI,W 31-9,33,18,11,4,9,6,66.7,0,0,,2018,2018_16_LAR_ARI
NOR,2018-11-11,33,Sun,9,10,@,CIN,W 51-14,33,18,13,2,12,7,58.3,1,1,100.0,2018,2018_10_NOR_CIN
KAN,2018-10-21,33,Sun,7,7,,CIN,W 45-10,33,12,19,2,12,9,75.0,1,0,0.0,2018,2018_07_KAN_CIN
SFO,2018-10-07,33,Sun,5,5,,ARI,L 18-28,33,9,22,2,17,10,58.8,2,1,50.0,2018,2018_05_SFO_ARI
LAR,2018-09-23,33,Sun,3,3,,LAC,W 35-23,33,12,18,3,11,8,72.7,0,0,,2018,2018_03_LAR_LAC
PIT,2018-09-16,33,Sun,2,2,,KAN,L 37-42,33,2,25,6,11,3,27.3,2,2,100.0,2018,2018_02_PIT_KAN
LAC,2018-09-09,33,Sun,1,1,,KAN,L 28-38,33,7,23,3,11,3,27.3,1,1,100.0,2018,2018_01_LAC_KAN
HOU,2017-10-01,33,Sun,4,4,,TEN,W 57-14,33,10,19,4,12,6,50.0,1,1,100.0,2017,2017_04_HOU_TEN
MIN,2022-12-17,32,Sat,14,15,,IND,W 39-36 (OT),32,4,22,6,15,5,33.3,3,0,0.0,2022,2022_15_MIN_IND
CIN,2022-09-11,32,Sun,1,1,,PIT,L 20-23 (OT),32,5,22,5,16,8,50.0,3,1,33.3,2022,2022_01_CIN_PIT
NWE,2022-01-02,32,Sun,16,17,,JAX,W 50-10,32,16,15,1,10,8,80.0,0,0,,2021,2021_17_NWE_JAX
NYJ,2021-10-31,32,Sun,7,8,,CIN,W 34-31,32,6,23,3,11,6,54.5,0,0,,2021,2021_08_NYJ_CIN
NWE,2021-10-24,32,Sun,7,7,,NYJ,W 54-13,32,12,17,3,12,7,58.3,1,1,100.0,2021,2021_07_NWE_NYJ
DAL,2021-10-17,32,Sun,6,6,@,NWE,W 35-29 (OT),32,5,25,2,13,3,23.1,4,2,50.0,2021,2021_06_DAL_NWE
DAL,2019-11-28,32,Thu,12,13,,BUF,L 15-26,32,5,22,5,13,7,53.8,3,1,33.3,2019,2019_13_DAL_BUF
MIN,2019-10-20,32,Sun,7,7,@,DET,W 42-30,32,10,19,3,10,6,60.0,0,0,,2019,2019_07_MIN_DET
DAL,2019-10-06,32,Sun,5,5,,GNB,L 24-34,32,9,19,4,8,2,25.0,0,0,,2019,2019_05_DAL_GNB
DAL,2018-12-09,32,Sun,13,14,,PHI,W 29-23 (OT),32,6,23,3,18,9,50.0,1,1,100.0,2018,2018_14_DAL_PHI
NOR,2018-09-23,32,Sun,3,3,@,ATL,W 43-37 (OT),32,11,19,2,14,7,50.0,1,1,100.0,2018,2018_03_NOR_ATL
JAX,2017-12-24,32,Sun,15,16,@,SFO,L 33-44,32,7,20,5,13,5,38.5,2,2,100.0,2017,2017_16_JAX_SFO
NOR,2017-11-12,32,Sun,9,10,@,BUF,W 47-10,32,20,9,3,12,6,50.0,2,2,100.0,2017,2017_10_NOR_BUF
OAK,2017-10-19,32,Thu,7,7,,KAN,W 31-30,32,3,23,6,13,6,46.2,1,1,100.0,2017,2017_07_OAK_KAN
DET,2022-12-04,31,Sun,12,13,,JAX,W 40-14,31,8,21,2,12,8,66.7,0,0,,2022,2022_13_DET_JAX
BUF,2022-09-25,31,Sun,3,3,@,MIA,L 19-21,31,9,21,1,18,11,61.1,3,2,66.7,2022,2022_03_BUF_MIA
KAN,2021-10-03,31,Sun,4,4,@,PHI,W 42-30,31,12,16,3,10,9,90.0,0,0,,2021,2021_04_KAN_PHI
BAL,2021-09-19,31,Sun,2,2,,KAN,W 36-35,31,18,11,2,11,6,54.5,1,1,100.0,2021,2021_02_BAL_KAN
DET,2021-09-12,31,Sun,1,1,,SFO,L 33-41,31,8,19,4,15,4,26.7,5,2,40.0,2021,2021_01_DET_SFO
MIN,2021-01-03,31,Sun,16,17,@,DET,W 37-35,31,8,20,3,13,4,30.8,2,2,100.0,2020,2020_17_MIN_DET
BUF,2020-12-28,31,Mon,15,16,@,NWE,W 38-9,31,11,19,1,12,5,41.7,3,3,100.0,2020,2020_16_BUF_NWE
BUF,2020-12-07,31,Mon,12,13,@,SFO,W 34-24,31,6,22,3,9,4,44.4,3,2,66.7,2020,2020_13_BUF_SFO
LAR,2020-11-01,31,Sun,8,8,@,MIA,L 17-28,31,11,19,1,17,7,41.2,1,0,0.0,2020,2020_08_LAR_MIA
ARI,2020-10-25,31,Sun,7,7,,SEA,W 37-34 (OT),31,11,17,3,12,5,41.7,2,1,50.0,2020,2020_07_ARI_SEA
CIN,2020-10-25,31,Sun,7,7,,CLE,L 34-37,31,5,24,2,9,6,66.7,1,1,100.0,2020,2020_07_CIN_CLE
TEN,2020-10-18,31,Sun,5,6,,HOU,W 42-36 (OT),31,9,20,2,10,6,60.0,0,0,,2020,2020_06_TEN_HOU
MIN,2020-10-11,31,Sun,5,5,@,SEA,L 26-27,31,12,17,2,14,6,42.9,3,2,66.7,2020,2020_05_MIN_SEA
BUF,2020-09-13,31,Sun,1,1,,NYJ,W 27-17,31,8,17,6,14,7,50.0,1,1,100.0,2020,2020_01_BUF_NYJ
GNB,2020-09-13,31,Sun,1,1,@,MIN,W 43-34,31,11,17,3,11,6,54.5,2,1,50.0,2020,2020_01_GNB_MIN
BAL,2019-12-22,31,Sun,15,16,@,CLE,W 31-15,31,16,13,2,11,7,63.6,1,0,0.0,2019,2019_16_BAL_CLE
BAL,2019-11-25,31,Mon,11,12,@,LAR,W 45-6,31,17,13,1,15,9,60.0,3,3,100.0,2019,2019_12_BAL_LAR
SEA,2019-11-03,31,Sun,9,9,,TAM,W 40-34 (OT),31,4,23,4,8,2,25.0,0,0,,2019,2019_09_SEA_TAM
ATL,2019-10-13,31,Sun,6,6,@,ARI,L 33-34,31,7,20,4,11,6,54.5,0,0,,2019,2019_06_ATL_ARI
HOU,2019-10-06,31,Sun,5,5,,ATL,W 53-32,31,11,18,2,13,10,76.9,0,0,,2019,2019_05_HOU_ATL
GNB,2019-09-26,31,Thu,4,4,,PHI,L 27-34,31,4,19,8,11,6,54.5,1,0,0.0,2019,2019_04_GNB_PHI
BAL,2019-09-08,31,Sun,1,1,@,MIA,W 59-10,31,10,17,4,11,7,63.6,2,2,100.0,2019,2019_01_BAL_MIA
SEA,2018-12-23,31,Sun,15,16,,KAN,W 38-31,31,11,15,5,14,7,50.0,0,0,,2018,2018_16_SEA_KAN
TAM,2018-11-18,31,Sun,10,11,@,NYG,L 35-38,31,10,18,3,9,6,66.7,2,1,50.0,2018,2018_11_TAM_NYG
NOR,2018-11-04,31,Sun,8,9,,LAR,W 45-35,31,10,19,2,12,7,58.3,2,2,100.0,2018,2018_09_NOR_LAR
NWE,2018-10-14,31,Sun,6,6,,KAN,W 43-40,31,15,14,2,13,7,53.8,1,0,0.0,2018,2018_06_NWE_KAN
KAN,2018-09-23,31,Sun,3,3,,SFO,W 38-27,31,9,15,7,11,7,63.6,1,1,100.0,2018,2018_03_KAN_SFO
PIT,2017-12-10,31,Sun,13,14,,BAL,W 39-38,31,6,23,2,18,12,66.7,0,0,,2017,2017_14_PIT_BAL
CAR,2022-12-24,30,Sat,15,16,,DET,W 37-23,30,16,11,3,9,3,33.3,1,1,100.0,2022,2022_16_CAR_DET
CIN,2022-11-06,30,Sun,9,9,,CAR,W 42-21,30,19,10,1,10,6,60.0,0,0,,2022,2022_09_CIN_CAR
MIN,2022-09-25,30,Sun,3,3,,DET,W 28-24,30,9,16,5,9,2,22.2,2,1,50.0,2022,2022_03_MIN_DET
NWE,2021-11-14,30,Sun,10,10,,CLE,W 45-7,30,10,17,3,9,7,77.8,0,0,,2021,2021_10_NWE_CLE
NYJ,2021-11-04,30,Thu,8,9,@,IND,L 30-45,30,3,25,2,14,8,57.1,1,1,100.0,2021,2021_09_NYJ_IND
BAL,2021-10-11,30,Mon,5,5,,IND,W 31-25 (OT),30,7,22,1,8,3,37.5,0,0,,2021,2021_05_BAL_IND
TEN,2021-10-03,30,Sun,4,4,@,NYJ,L 24-27 (OT),30,10,17,3,19,5,26.3,3,2,66.7,2021,2021_04_TEN_NYJ
PHI,2021-10-03,30,Sun,4,4,,KAN,L 30-42,30,9,19,2,12,6,50.0,2,1,50.0,2021,2021_04_PHI_KAN
DAL,2021-09-09,30,Thu,1,1,@,TAM,L 29-31,30,4,21,5,17,9,52.9,0,0,,2021,2021_01_DAL_TAM
TAM,2020-12-26,30,Sat,15,16,@,DET,W 47-7,30,5,22,3,10,4,40.0,2,1,50.0,2020,2020_16_TAM_DET
LAR,2020-12-06,30,Sun,12,13,@,ARI,W 38-28,30,8,19,3,15,9,60.0,3,1,33.3,2020,2020_13_LAR_ARI
MIN,2020-12-06,30,Sun,12,13,,JAX,W 27-24 (OT),30,10,17,3,16,7,43.8,0,0,,2020,2020_13_MIN_JAX
TAM,2020-11-15,30,Sun,10,10,@,CAR,W 46-23,30,9,18,3,16,10,62.5,1,1,100.0,2020,2020_10_TAM_CAR
NWE,2020-11-09,30,Mon,8,9,@,NYJ,W 30-27,30,14,13,3,14,8,57.1,2,1,50.0,2020,2020_09_NWE_NYJ
DET,2020-11-08,30,Sun,8,9,@,MIN,L 20-34,30,9,19,2,12,6,50.0,0,0,,2020,2020_09_DET_MIN
CAR,2020-11-08,30,Sun,9,9,@,KAN,L 31-33,30,7,18,5,16,7,43.8,3,3,100.0,2020,2020_09_CAR_KAN
CAR,2020-10-04,30,Sun,4,4,,ARI,W 31-21,30,11,17,2,11,7,63.6,1,1,100.0,2020,2020_04_CAR_ARI
JAX,2020-09-20,30,Sun,2,2,@,TEN,L 30-33,30,9,20,1,14,10,71.4,1,1,100.0,2020,2020_02_JAX_TEN
LAR,2020-09-20,30,Sun,2,2,@,PHI,W 37-19,30,11,17,2,12,7,58.3,1,1,100.0,2020,2020_02_LAR_PHI
CIN,2020-09-17,30,Thu,2,2,@,CLE,L 30-35,30,7,20,3,18,8,44.4,5,5,100.0,2020,2020_02_CIN_CLE
CLE,2019-11-24,30,Sun,11,12,,MIA,W 41-24,30,9,15,6,8,4,50.0,0,0,,2019,2019_12_CLE_MIA
ATL,2019-10-27,30,Sun,8,8,,SEA,L 20-27,30,4,24,2,9,3,33.3,1,1,100.0,2019,2019_08_ATL_SEA
LAC,2018-12-13,30,Thu,14,15,@,KAN,W 29-28,30,7,18,5,10,6,60.0,1,1,100.0,2018,2018_15_LAC_KAN
KAN,2018-12-09,30,Sun,13,14,,BAL,W 27-24 (OT),30,8,18,4,16,6,37.5,3,3,100.0,2018,2018_14_KAN_BAL
LAC,2018-11-25,30,Sun,11,12,,ARI,W 45-10,30,11,17,2,7,3,42.9,1,1,100.0,2018,2018_12_LAC_ARI
TAM,2018-10-14,30,Sun,5,6,@,ATL,L 29-34,30,5,23,2,8,5,62.5,0,0,,2018,2018_06_TAM_ATL
GNB,2018-10-07,30,Sun,5,5,@,DET,L 23-31,30,6,23,1,10,3,30.0,2,2,100.0,2018,2018_05_GNB_DET
LAR,2018-10-07,30,Sun,5,5,@,SEA,W 33-31,30,9,17,4,9,3,33.3,1,1,100.0,2018,2018_05_LAR_SEA
CIN,2018-09-30,30,Sun,4,4,@,ATL,W 37-36,30,6,20,4,12,7,58.3,2,2,100.0,2018,2018_04_CIN_ATL
HOU,2018-09-30,30,Sun,4,4,@,IND,W 37-34 (OT),30,6,23,1,16,8,50.0,1,1,100.0,2018,2018_04_HOU_IND
WAS,2018-09-09,30,Sun,1,1,@,ARI,W 24-6,30,10,13,7,13,6,46.2,1,1,100.0,2018,2018_01_WAS_ARI
