,game_id,Team,Season,Date,Day,G#,Week,Opp,Result,home,Pts_points,Pts_points,PtsO_points,PtDif_points,PC_points,Spread_vegas,Spread_vegas,vs. Line_vegas,Over/Under_vegas,OU Result_vegas,Cmp_pass,Cmp_pass,Att_pass,Inc_pass,Cmp%_pass,Yds_pass,TD_pass,Int_pass,TD%_pass,Int%_pass,Rate_pass,Sk_pass,Yds_pass,Sk%_pass,Y/A_pass,NY/A_pass,AY/A_pass,ANY/A_pass,Y/C_pass,Att_rush,Att_rush,Yds_rush,Y/A_rush,TD_rush,Tot_total,Tot_total,Ply_total,Y/P_total,DPly_total,DY/P_total,TO_total,ToP_total,Time_total,Pen_penalty,Pen_penalty,Yds_penalty,OppPen_penalty,OppYds_penalty,CombPen_penalty,CombPenYds_penalty,1stD_downs,1stD_downs,Rsh_downs,Pass_downs,Pen_downs,3DAtt_downs,3DConv_downs,3D%_downs,4DAtt_downs,4DConv_downs,4D%_downs,Cmp_opp_passing,Cmp_opp_passing,Att_opp_passing,Cmp%_opp_passing,Yds_opp_passing,TD_opp_passing,Sk_opp_passing,Yds_opp_passing,Int_opp_passing,Rate_opp_passing,Att_opp_rushing,Att_opp_rushing,Yds_opp_rushing,Y/A_opp_rushing,TD_opp_rushing,Tot_opp_totals,Tot_opp_totals,TO_opp_totals,1stDOpp_opp_downs,1stDOpp_opp_downs,Rush_opp_downs,Pass_opp_downs,Pen_opp_downs,Opp3DAtt_opp_downs,Opp3DConv_opp_downs,Opp3D%_opp_downs,Opp4DAtt_opp_downs,Opp4DConv_opp_downs,Opp4D%_opp_downs,TD_opp_scoring,TD_opp_scoring,XPA_opp_scoring,XPM_opp_scoring,Att_opp_scoring,Md_opp_scoring,Sfty_opp_scoring
0,2019_01_BAL_MIA,BAL,2019,2019-09-08,Sun,1,1,MIA,W 59-10,0,59,59,10,49,69,,,,,,23,23,26,3,88.5,378,6,0,23.1,0.0,158.3,1,1,3.70,14.5,14.00,19.15,18.44,16.4,46,46,265,5.8,2,643,643,73,8.81,47,4.26,0,40:07,2:58,4,4,40,9,64,13,104,31,31,10,17,4,11,7,63.6,2,2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017_04_HOU_TEN,HOU,2017,2017-10-01,Sun,4,4,TEN,W 57-14,1,57,57,14,43,71,2.5,2.5,covered,43.0,over,25,25,34,9,73.5,272,4,1,11.8,2.9,125.0,2,11,5.56,8.0,7.56,9.03,8.53,10.9,42,42,173,4.1,2,445,445,78,5.71,41,4.76,1,39:41,2:56,,,,,,,,33,33,10,19,4,12,6,50.0,1,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,0,0
2,2021_16_DAL_WAS,DAL,2021,2021-12-26,Sun,15,16,WAS,W 56-14,1,56,56,14,42,70,,,,,,30,30,42,12,71.4,389,5,0,11.9,0.0,140.9,3,11,6.67,9.3,8.64,11.64,10.87,13.0,28,28,108,3.9,1,497,497,73,6.81,57,4.51,0,31:31,3:05,,,,,,,,28,28,7,20,1,15,10,66.7,1,1,100.0,,,,,,,,,,,20,20,85,4.3,0,,,,,,,,,,,,,,,2,2,2,2,0,0,0
3,2020_17_BUF_MIA,BUF,2020,2021-01-03,Sun,16,17,MIA,W 56-26,1,56,56,26,30,82,3.5,3.5,covered,43.0,over,24,24,38,14,63.2,377,4,2,10.5,5.3,110.4,1,11,2.56,9.9,9.67,9.66,9.41,15.7,25,25,78,3.1,2,455,455,64,7.11,80,5.68,2,27:22,3:13,,,,,,,,24,24,4,19,1,10,4,40.0,0,0,,36,36,59,61.0,384,1,1,9,3,64.5,20,20,70,3.5,2,454,454,4,27,27,5,20,2,14,3,21.4,2,1,50.0,3,3,2,2,2,2,0
4,2019_04_TAM_LAR,TAM,2019,2019-09-29,Sun,4,4,LAR,W 55-40,0,55,55,40,15,95,9.0,9.0,covered,48.5,over,28,28,41,13,68.3,376,4,1,9.8,2.4,120.5,2,9,4.65,9.2,8.74,10.02,9.56,13.4,30,30,88,2.9,2,464,464,73,6.36,81,6.40,1,32:36,3:39,12,12,99,13,106,25,205,27,27,3,22,2,13,8,61.5,0,0,,45,45,68,66.2,490,2,2,27,3,78.7,,,,,,518,518,4,36,36,3,27,6,11,4,36.4,1,0,0.0,5,5,4,4,2,2,0
5,2022_13_DAL_IND,DAL,2022,2022-12-04,Sun,12,13,IND,W 54-19,1,54,54,19,35,73,,,,,,20,20,30,10,66.7,165,3,1,10.0,3.3,100.7,1,5,3.23,5.5,5.32,6.00,5.81,8.3,34,34,220,6.5,4,385,385,65,5.92,70,4.41,1,28:41,3:07,,,,,,,,23,23,10,11,2,13,7,53.8,1,1,100.0,21,21,37,56.8,203,2,3,30,3,56.5,30,30,106,3.5,0,309,309,5,18,18,5,12,1,13,4,30.8,3,3,100.0,2,2,1,1,2,2,0
6,2021_07_NWE_NYJ,NWE,2021,2021-10-24,Sun,7,7,NYJ,W 54-13,1,54,54,13,41,67,,,,,,28,28,41,13,68.3,403,3,0,7.3,0.0,125.2,1,8,2.38,9.8,9.60,11.29,11.02,14.4,32,32,148,4.6,4,551,551,74,7.45,61,4.90,0,32:12,3:10,6,6,95,5,29,11,124,32,32,12,17,3,12,7,58.3,1,1,100.0,26,26,42,61.9,237,1,2,16,2,65.3,,,,,,299,299,3,18,18,3,13,2,13,7,53.8,2,0,0.0,2,2,1,1,1,0,0
7,2018_11_LAR_KAN,LAR,2018,2018-11-19,Mon,11,11,KAN,W 54-51,1,54,54,51,3,105,-3.0,-3.0,push,63.5,over,31,31,49,18,63.3,379,4,0,8.2,0.0,117.1,5,34,9.26,7.7,7.02,9.37,8.50,12.2,21,21,76,3.6,1,455,455,75,6.07,69,7.91,2,30:23,3:42,8,8,60,13,135,21,195,29,29,4,21,4,14,5,35.7,1,1,100.0,33,33,46,71.7,448,6,3,30,3,114.9,20,20,98,4.9,0,546,546,5,27,27,2,21,4,10,5,50.0,1,1,100.0,7,7,7,6,1,1,0
8,2017_11_LAC_BUF,LAC,2017,2017-11-19,Sun,10,11,BUF,W 54-24,1,54,54,24,30,78,,,,,,25,25,37,12,67.6,283,2,0,5.4,0.0,108.4,1,1,2.63,7.6,7.45,8.73,8.50,11.3,35,35,146,4.2,2,429,429,73,5.88,62,6.34,0,36:05,3:09,,,,,,,,28,28,8,20,0,14,7,50.0,0,0,,21,21,39,53.8,220,1,1,4,5,39.4,22,22,173,7.9,2,393,393,6,18,18,6,11,1,14,6,42.9,2,1,50.0,3,3,3,3,1,1,0
9,2019_05_HOU_ATL,HOU,2019,2019-10-06,Sun,5,5,ATL,W 53-32,1,53,53,32,21,85,-4.0,-4.0,covered,49.0,over,28,28,33,5,84.8,426,5,0,15.2,0.0,158.3,0,0,0.00,12.9,12.91,15.94,15.94,15.2,34,34,166,4.9,1,592,592,67,8.84,68,5.49,1,31:00,3:13,9,9,89,7,63,16,152,31,31,11,18,2,13,10,76.9,0,0,,32,32,46,69.6,316,3,2,14,1,101.4,20,20,57,2.9,1,373,373,1,22,22,5,14,3,16,9,56.3,1,1,100.0,4,4,3,3,1,1,0
