Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Season,game_id
LAR,2019-09-29,45,Sun,4,4,,TAM,L 40-55,45,68,23,66.2,490,2,3,2.9,4.4,80.3,2,27,2.86,7.2,7.00,5.81,5.64,10.9,2019,2019_04_LAR_TAM
PIT,2017-12-10,44,Sun,13,14,,BAL,W 39-38,44,66,22,66.7,486,2,0,3.0,0.0,99.7,3,20,4.35,7.4,7.04,7.97,7.62,11.0,2017,2017_14_PIT_BAL
KAN,2022-11-06,43,Sun,8,9,,TEN,W 20-17 (OT),43,68,25,63.2,422,1,1,1.5,1.5,80.9,4,24,5.56,6.2,5.86,5.84,5.51,9.8,2022,2022_09_KAN_TEN
IND,2022-10-16,42,Sun,6,6,,JAX,W 34-27,42,58,16,72.4,389,3,0,5.2,0.0,107.6,0,0,0.00,6.7,6.71,7.74,7.74,9.3,2022,2022_06_IND_JAX
BUF,2022-09-25,42,Sun,3,3,@,MIA,L 19-21,42,63,21,66.7,382,2,0,3.2,0.0,94.7,4,18,5.97,6.1,5.70,6.70,6.30,9.1,2022,2022_03_BUF_MIA
DAL,2021-09-09,42,Thu,1,1,@,TAM,L 29-31,42,58,16,72.4,391,3,1,5.2,1.7,101.4,1,12,1.69,6.7,6.63,7.00,6.88,9.3,2021,2021_01_DAL_TAM
DAL,2018-12-09,42,Sun,13,14,,PHI,W 29-23 (OT),42,54,12,77.8,434,3,2,5.6,3.7,104.9,3,21,5.26,8.0,7.61,7.48,7.09,10.3,2018,2018_14_DAL_PHI
PIT,2018-11-25,42,Sun,11,12,@,DEN,L 17-24,42,58,16,72.4,452,2,2,3.4,3.4,92.9,2,12,3.33,7.8,7.53,6.93,6.70,10.8,2018,2018_12_PIT_DEN
TAM,2021-09-26,41,Sun,3,3,@,LAR,L 24-34,41,55,14,74.5,411,1,0,1.8,0.0,103.0,3,21,5.17,7.5,7.09,7.84,7.43,10.0,2021,2021_03_TAM_LAR
DAL,2020-10-04,41,Sun,4,4,,CLE,L 38-49,41,58,17,70.7,481,4,1,6.9,1.7,112.9,3,21,4.92,8.3,7.89,8.90,8.46,11.7,2020,2020_04_DAL_CLE
CIN,2022-12-24,40,Sat,15,16,@,NWE,W 22-18,40,52,12,76.9,369,3,2,5.8,3.8,99.4,2,6,3.70,7.1,6.83,6.52,6.28,9.2,2022,2022_16_CIN_NWE
IND,2018-09-30,40,Sun,4,4,,HOU,L 34-37 (OT),40,62,22,64.5,437,4,0,6.5,0.0,108.5,4,27,6.06,7.0,6.62,8.34,7.83,10.9,2018,2018_04_IND_HOU
MIN,2018-09-23,40,Sun,3,3,,BUF,L 6-27,40,55,15,72.7,278,1,1,1.8,1.8,83.6,4,18,6.78,5.1,4.71,4.60,4.29,7.0,2018,2018_03_MIN_BUF
LAC,2022-12-11,39,Sun,13,14,,MIA,W 23-17,39,51,12,76.5,350,1,0,2.0,0.0,102.3,4,17,7.27,6.9,6.36,7.25,6.73,9.0,2022,2022_14_LAC_MIA
TAM,2022-10-02,39,Sun,4,4,,KAN,L 31-41,39,52,13,75.0,373,3,0,5.8,0.0,114.7,1,12,1.89,7.2,7.04,8.33,8.17,9.6,2022,2022_04_TAM_KAN
NYJ,2021-10-31,39,Sun,7,8,,CIN,W 34-31,39,49,10,79.6,414,3,2,6.1,4.1,106.0,2,8,3.92,8.4,8.12,7.84,7.53,10.6,2021,2021_08_NYJ_CIN
LAR,2020-11-23,39,Mon,10,11,@,TAM,W 27-24,39,51,12,76.5,376,3,2,5.9,3.9,99.8,0,0,0.00,7.4,7.37,6.78,6.78,9.6,2020,2020_11_LAR_TAM
ATL,2019-10-27,39,Sun,8,8,,SEA,L 20-27,39,52,13,75.0,441,1,1,1.9,1.9,99.8,2,19,3.70,8.5,8.17,8.00,7.70,11.3,2019,2019_08_ATL_SEA
NOR,2018-09-23,39,Sun,3,3,@,ATL,W 43-37 (OT),39,49,10,79.6,391,3,0,6.1,0.0,120.7,1,5,2.00,8.0,7.82,9.20,9.02,10.0,2018,2018_03_NOR_ATL
PIT,2018-09-16,39,Sun,2,2,,KAN,L 37-42,39,60,21,65.0,442,3,0,5.0,0.0,104.3,1,10,1.64,7.4,7.25,8.37,8.23,11.3,2018,2018_02_PIT_KAN
IND,2018-09-09,39,Sun,1,1,,CIN,L 23-34,39,53,14,73.6,305,2,1,3.8,1.9,93.2,2,14,3.64,5.8,5.55,5.66,5.45,7.8,2018,2018_01_IND_CIN
TAM,2021-12-05,38,Sun,12,13,@,ATL,W 30-17,38,51,13,74.5,368,4,1,7.8,2.0,112.2,0,0,0.00,7.2,7.22,7.90,7.90,9.7,2021,2021_13_TAM_ATL
PIT,2021-09-26,38,Sun,3,3,,CIN,L 10-24,38,58,20,65.5,297,1,2,1.7,3.4,70.9,4,21,6.45,5.1,4.79,3.91,3.66,7.8,2021,2021_03_PIT_CIN
DET,2021-09-12,38,Sun,1,1,,SFO,L 33-41,38,57,19,66.7,314,3,1,5.3,1.8,92.6,3,24,5.00,5.5,5.23,5.77,5.48,8.3,2021,2021_01_DET_SFO
