Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
TAM,2019-09-29,45,Sun,4,4,@,LAR,W 55-40,45,68,66.2,490,2,2,27,3,78.7,2019,2019_04_TAM_LAR
BAL,2017-12-10,44,Sun,13,14,@,PIT,L 38-39,44,66,66.7,486,2,3,20,0,98.4,2017,2017_14_BAL_PIT
TEN,2022-11-06,43,Sun,8,9,@,KAN,L 17-20 (OT),43,68,63.2,422,1,4,24,1,79.4,2022,2022_09_TEN_KAN
JAX,2022-10-16,42,Sun,6,6,@,IND,L 27-34,42,58,72.4,389,3,0,0,0,107.6,2022,2022_06_JAX_IND
MIA,2022-09-25,42,Sun,3,3,,BUF,W 21-19,42,63,66.7,382,2,4,18,0,93.5,2022,2022_03_MIA_BUF
TAM,2021-09-09,42,Thu,1,1,,DAL,W 31-29,42,58,72.4,391,3,1,12,1,100.6,2021,2021_01_TAM_DAL
PHI,2018-12-09,42,Sun,13,14,@,DAL,L 23-29 (OT),42,54,77.8,434,3,3,21,2,103.2,2018,2018_14_PHI_DAL
DEN,2018-11-25,42,Sun,11,12,,PIT,W 24-17,42,58,72.4,452,2,2,12,2,92.0,2018,2018_12_DEN_PIT
LAR,2021-09-26,41,Sun,3,3,,TAM,W 34-24,41,55,74.5,411,1,3,21,0,101.4,2021,2021_03_LAR_TAM
CLE,2020-10-04,41,Sun,4,4,@,DAL,W 49-38,41,58,70.7,481,4,3,21,1,111.4,2020,2020_04_CLE_DAL
NWE,2022-12-24,40,Sat,15,16,,CIN,L 18-22,40,52,76.9,369,3,2,6,2,99.0,2022,2022_16_NWE_CIN
HOU,2018-09-30,40,Sun,4,4,@,IND,W 37-34 (OT),40,62,64.5,437,4,4,27,0,106.7,2018,2018_04_HOU_IND
BUF,2018-09-23,40,Sun,3,3,@,MIN,W 27-6,40,55,72.7,278,1,4,18,1,82.2,2018,2018_03_BUF_MIN
MIA,2022-12-11,39,Sun,13,14,@,LAC,L 17-23,39,51,76.5,350,1,4,17,0,100.9,2022,2022_14_MIA_LAC
KAN,2022-10-02,39,Sun,4,4,@,TAM,W 41-31,39,52,75.0,373,3,1,12,0,113.7,2022,2022_04_KAN_TAM
CIN,2021-10-31,39,Sun,8,8,@,NYJ,L 31-34,39,49,79.6,414,3,2,8,2,105.3,2021,2021_08_CIN_NYJ
TAM,2020-11-23,39,Mon,11,11,,LAR,L 24-27,39,51,76.5,376,3,0,0,2,99.8,2020,2020_11_TAM_LAR
SEA,2019-10-27,39,Sun,8,8,@,ATL,W 27-20,39,52,75.0,441,1,2,19,1,98.3,2019,2019_08_SEA_ATL
ATL,2018-09-23,39,Sun,3,3,,NOR,L 37-43 (OT),39,49,79.6,391,3,1,5,0,120.3,2018,2018_03_ATL_NOR
KAN,2018-09-16,39,Sun,2,2,@,PIT,W 42-37,39,60,65.0,442,3,1,10,0,103.6,2018,2018_02_KAN_PIT
CIN,2018-09-09,39,Sun,1,1,@,IND,W 34-23,39,53,73.6,305,2,2,14,1,92.1,2018,2018_01_CIN_IND
ATL,2021-12-05,38,Sun,12,13,,TAM,L 17-30,38,51,74.5,368,4,0,0,1,112.2,2021,2021_13_ATL_TAM
CIN,2021-09-26,38,Sun,3,3,@,PIT,W 24-10,38,58,65.5,297,1,4,21,2,69.4,2021,2021_03_CIN_PIT
SFO,2021-09-12,38,Sun,1,1,@,DET,W 41-33,38,57,66.7,314,3,3,24,1,90.8,2021,2021_01_SFO_DET
SEA,2020-12-20,38,Sun,14,15,@,WAS,W 20-15,38,55,69.1,269,1,4,26,2,70.9,2020,2020_15_SEA_WAS
DET,2020-11-15,38,Sun,9,10,,WAS,W 30-27,38,55,69.1,375,0,2,15,0,88.1,2020,2020_10_DET_WAS
CLE,2018-11-11,38,Sun,10,10,,ATL,W 28-16,38,52,73.1,311,2,2,19,0,100.7,2018,2018_10_CLE_ATL
NWE,2018-10-04,38,Thu,5,5,,IND,W 38-24,38,59,64.4,355,3,1,10,2,83.7,2018,2018_05_NWE_IND
DEN,2022-10-17,37,Mon,6,6,@,LAC,L 16-19 (OT),37,57,64.9,224,0,2,14,1,65.2,2022,2022_06_DEN_LAC
LAR,2022-09-25,37,Sun,3,3,@,ARI,W 20-12,37,58,63.8,295,0,2,19,0,76.4,2022,2022_03_LAR_ARI
BAL,2022-09-11,37,Sun,1,1,@,NYJ,W 24-9,37,59,62.7,297,1,3,12,1,73.9,2022,2022_01_BAL_NYJ
BAL,2021-12-26,37,Sun,15,16,@,CIN,L 21-41,37,46,80.4,498,4,3,27,0,140.8,2021,2021_16_BAL_CIN
IND,2021-10-11,37,Mon,5,5,@,BAL,L 25-31 (OT),37,43,86.0,437,4,2,5,0,140.0,2021,2021_05_IND_BAL
CIN,2021-09-12,37,Sun,1,1,,MIN,W 27-24 (OT),37,50,74.0,336,2,3,26,0,105.1,2021,2021_01_CIN_MIN
ARI,2020-12-06,37,Sun,12,13,,LAR,L 28-38,37,47,78.7,344,1,1,7,0,104.3,2020,2020_13_ARI_LAR
TAM,2020-11-29,37,Sun,12,12,,KAN,L 24-27,37,50,74.0,456,3,2,6,0,121.7,2020,2020_12_TAM_KAN
NYJ,2020-11-22,37,Sun,10,11,@,LAC,L 28-34,37,49,75.5,347,3,3,19,0,114.9,2020,2020_11_NYJ_LAC
KAN,2020-11-08,37,Sun,9,9,,CAR,W 33-31,37,50,74.0,331,2,2,7,0,104.7,2020,2020_09_KAN_CAR
SEA,2020-09-27,37,Sun,3,3,,DAL,W 38-31,37,57,64.9,461,3,2,11,2,92.8,2020,2020_03_SEA_DAL
CLE,2020-09-17,37,Thu,2,2,,CIN,W 35-30,37,61,60.7,285,3,3,31,0,88.5,2020,2020_02_CLE_CIN
SEA,2020-09-13,37,Sun,1,1,@,ATL,W 38-25,37,54,68.5,434,2,2,16,1,97.3,2020,2020_01_SEA_ATL
NYJ,2018-12-23,37,Sun,15,16,,GNB,L 38-44 (OT),37,55,67.3,413,2,4,29,0,101.6,2018,2018_16_NYJ_GNB
ATL,2018-12-23,37,Sun,15,16,@,CAR,W 24-10,37,57,64.9,295,1,2,17,3,61.7,2018,2018_16_ATL_CAR
TAM,2018-09-09,37,Sun,1,1,@,NOR,W 48-40,37,45,82.2,432,3,1,7,0,128.9,2018,2018_01_TAM_NOR
PHI,2017-12-17,37,Sun,14,15,@,NYG,W 34-29,37,57,64.9,429,3,1,5,1,97.8,2017,2017_15_PHI_NYG
HOU,2022-12-18,36,Sun,14,15,,KAN,L 24-30 (OT),36,41,87.8,313,2,2,23,0,114.7,2022,2022_15_HOU_KAN
NOR,2022-12-05,36,Mon,13,13,@,TAM,L 16-17,36,54,66.7,274,2,1,7,1,83.4,2022,2022_13_NOR_TAM
LAR,2022-11-06,36,Sun,8,9,@,TAM,L 13-16,36,58,62.1,272,1,1,8,0,79.1,2022,2022_09_LAR_TAM
BAL,2022-09-18,36,Sun,2,2,,MIA,L 38-42,36,50,72.0,461,6,1,8,2,123.4,2022,2022_02_BAL_MIA
TAM,2021-12-12,36,Sun,13,14,,BUF,W 33-27 (OT),36,54,66.7,293,2,3,15,1,84.9,2021,2021_14_TAM_BUF
LVR,2021-11-14,36,Sun,9,10,,KAN,L 14-41,36,51,70.6,422,5,0,0,0,128.1,2021,2021_10_LVR_KAN
NWE,2021-10-17,36,Sun,6,6,,DAL,L 29-35 (OT),36,51,70.6,445,3,0,0,1,108.7,2021,2021_06_NWE_DAL
BUF,2021-01-03,36,Sun,16,17,,MIA,W 56-26,36,59,61.0,384,1,1,9,3,64.5,2020,2020_17_BUF_MIA
ATL,2020-12-13,36,Sun,13,14,@,LAC,L 17-20,36,44,81.8,240,2,1,3,1,95.1,2020,2020_14_ATL_LAC
BAL,2020-12-02,36,Wed,11,12,@,PIT,L 14-19,36,51,70.6,266,1,0,0,1,81.0,2020,2020_12_BAL_PIT
TEN,2020-11-08,36,Sun,8,9,,CHI,W 24-17,36,52,69.2,319,2,3,16,0,98.2,2020,2020_09_TEN_CHI
CLE,2020-10-25,36,Sun,7,7,@,CIN,W 37-34,36,48,75.0,387,3,4,35,1,110.3,2020,2020_07_CLE_CIN
JAX,2020-09-13,36,Sun,1,1,,IND,W 27-20,36,46,78.3,357,1,1,6,2,88.1,2020,2020_01_JAX_IND
TEN,2019-11-10,36,Sun,10,10,,KAN,W 35-32,36,51,70.6,433,3,2,13,0,115.9,2019,2019_10_TEN_KAN
LAR,2018-09-27,36,Thu,4,4,,MIN,W 38-31,36,50,72.0,392,3,4,30,0,114.7,2018,2018_04_LAR_MIN
TAM,2017-12-10,36,Sun,13,14,,DET,L 21-24,36,44,81.8,381,1,0,0,2,91.4,2017,2017_14_TAM_DET
ARI,2022-11-27,35,Sun,12,12,,LAC,L 24-25,35,47,74.5,246,3,4,28,0,107.2,2022,2022_12_ARI_LAC
ATL,2022-10-09,35,Sun,5,5,@,TAM,L 15-21,35,52,67.3,351,1,0,0,0,92.7,2022,2022_05_ATL_TAM
SEA,2021-11-21,35,Sun,10,11,,ARI,L 13-23,35,44,79.5,318,2,2,10,0,111.9,2021,2021_11_SEA_ARI
HOU,2021-11-21,35,Sun,10,11,@,TEN,W 22-13,35,52,67.3,317,1,2,6,4,57.9,2021,2021_11_HOU_TEN
TEN,2021-10-18,35,Mon,6,6,,BUF,W 34-31,35,47,74.5,335,3,3,18,1,106.3,2021,2021_06_TEN_BUF
