Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,Season,game_id
CLE,2019-09-08,18,Sun,1,1,,TEN,L 13-43,18,182,6,54,24,236,2019,2019_01_CLE_TEN
MIA,2017-11-19,17,Sun,10,11,,TAM,L 20-30,17,123,9,82,26,205,2017,2017_11_MIA_TAM
JAX,2019-12-01,16,Sun,12,13,,TAM,L 11-28,16,121,8,44,24,165,2019,2019_13_JAX_TAM
ATL,2019-09-22,16,Sun,3,3,@,IND,L 24-27,16,128,4,39,20,167,2019,2019_03_ATL_IND
NYJ,2018-12-23,16,Sun,15,16,,GNB,L 38-44 (OT),16,172,10,86,26,258,2018,2018_16_NYJ_GNB
SEA,2017-11-05,16,Sun,8,9,,WAS,L 14-17,16,138,7,62,23,200,2017,2017_09_SEA_WAS
WAS,2018-12-09,15,Sun,13,14,,NYG,L 16-40,15,135,2,18,17,153,2018,2018_14_WAS_NYG
ATL,2018-09-06,15,Thu,1,1,@,PHI,L 12-18,15,135,11,101,26,236,2018,2018_01_ATL_PHI
SEA,2017-10-22,15,Sun,6,7,@,NYG,W 24-7,15,110,7,28,22,138,2017,2017_07_SEA_NYG
KAN,2017-09-07,15,Thu,1,1,@,NWE,W 42-27,15,139,6,55,21,194,2017,2017_01_KAN_NWE
LVR,2021-11-25,14,Thu,11,12,@,DAL,W 36-33 (OT),14,110,14,166,28,276,2021,2021_12_LVR_DAL
DAL,2021-11-25,14,Thu,11,12,,LVR,L 33-36 (OT),14,166,14,110,28,276,2021,2021_12_DAL_LVR
PHI,2021-09-12,14,Sun,1,1,@,ATL,W 32-6,14,89,12,99,26,188,2021,2021_01_PHI_ATL
LVR,2021-01-03,14,Sun,16,17,@,DEN,W 32-31,14,111,4,28,18,139,2020,2020_17_LVR_DEN
NWE,2018-12-16,14,Sun,14,15,@,PIT,L 10-17,14,106,4,40,18,146,2018,2018_15_NWE_PIT
SEA,2018-12-16,14,Sun,14,15,@,SFO,L 23-26 (OT),14,148,8,66,22,214,2018,2018_15_SEA_SFO
LAC,2018-11-18,14,Sun,10,11,,DEN,L 22-23,14,120,7,43,21,163,2018,2018_11_LAC_DEN
CHI,2018-11-04,14,Sun,8,9,@,BUF,W 41-9,14,129,10,163,24,292,2018,2018_09_CHI_BUF
CLE,2018-10-21,14,Sun,7,7,@,TAM,L 23-26 (OT),14,114,8,65,22,179,2018,2018_07_CLE_TAM
SFO,2018-09-23,14,Sun,3,3,@,KAN,L 27-38,14,147,6,48,20,195,2018,2018_03_SFO_KAN
MIA,2017-12-31,14,Sun,16,17,,BUF,L 16-22,14,145,6,45,20,190,2017,2017_17_MIA_BUF
HOU,2017-12-17,14,Sun,14,15,@,JAX,L 7-45,14,127,8,54,22,181,2017,2017_15_HOU_JAX
