Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
BAL,2019-09-08,59,Sun,1,1,@,MIA,W 59-10,59,10,49,69,2019,2019_01_BAL_MIA
HOU,2017-10-01,57,Sun,4,4,,TEN,W 57-14,57,14,43,71,2017,2017_04_HOU_TEN
DAL,2021-12-26,56,Sun,15,16,,WAS,W 56-14,56,14,42,70,2021,2021_16_DAL_WAS
BUF,2021-01-03,56,Sun,16,17,,MIA,W 56-26,56,26,30,82,2020,2020_17_BUF_MIA
TAM,2019-09-29,55,Sun,4,4,@,LAR,W 55-40,55,40,15,95,2019,2019_04_TAM_LAR
DAL,2022-12-04,54,Sun,12,13,,IND,W 54-19,54,19,35,73,2022,2022_13_DAL_IND
NWE,2021-10-24,54,Sun,7,7,,NYJ,W 54-13,54,13,41,67,2021,2021_07_NWE_NYJ
LAR,2018-11-19,54,Mon,11,11,,KAN,W 54-51,54,51,3,105,2018,2018_11_LAR_KAN
LAC,2017-11-19,54,Sun,10,11,,BUF,W 54-24,54,24,30,78,2017,2017_11_LAC_BUF
HOU,2019-10-06,53,Sun,5,5,,ATL,W 53-32,53,32,21,85,2019,2019_05_HOU_ATL
NOR,2020-12-25,52,Fri,15,16,,MIN,W 52-33,52,33,19,85,2020,2020_16_NOR_MIN
PIT,2018-11-08,52,Thu,9,10,,CAR,W 52-21,52,21,31,73,2018,2018_10_PIT_CAR
NOR,2017-10-15,52,Sun,5,6,,DET,W 52-38,52,38,14,90,2017,2017_06_NOR_DET
LAR,2022-12-25,51,Sun,15,16,,DEN,W 51-14,51,14,37,65,2022,2022_16_LAR_DEN
DAL,2022-01-08,51,Sat,17,18,@,PHI,W 51-26,51,26,25,77,2021,2021_18_DAL_PHI
SEA,2022-01-02,51,Sun,16,17,,DET,W 51-29,51,29,22,80,2021,2021_17_SEA_DET
SFO,2019-10-27,51,Sun,7,8,,CAR,W 51-13,51,13,38,64,2019,2019_08_SFO_CAR
KAN,2018-11-19,51,Mon,11,11,@,LAR,L 51-54,51,54,-3,105,2018,2018_11_KAN_LAR
NOR,2018-11-11,51,Sun,9,10,@,CIN,W 51-14,51,14,37,65,2018,2018_10_NOR_CIN
LAR,2017-11-05,51,Sun,8,9,@,NYG,W 51-17,51,17,34,68,2017,2017_09_LAR_NYG
PHI,2017-11-05,51,Sun,9,9,,DEN,W 51-23,51,23,28,74,2017,2017_09_PHI_DEN
NWE,2022-01-02,50,Sun,16,17,,JAX,W 50-10,50,10,40,60,2021,2021_17_NWE_JAX
DAL,2022-10-30,49,Sun,8,8,,CHI,W 49-29,49,29,20,78,2022,2022_08_DAL_CHI
CLE,2020-10-04,49,Sun,4,4,@,DAL,W 49-38,49,38,11,87,2020,2020_04_CLE_DAL
BAL,2019-11-10,49,Sun,9,10,@,CIN,W 49-13,49,13,36,62,2019,2019_10_BAL_CIN
PHI,2022-12-11,48,Sun,13,14,@,NYG,W 48-22,48,22,26,70,2022,2022_14_PHI_NYG
SEA,2022-10-02,48,Sun,4,4,@,DET,W 48-45,48,45,3,93,2022,2022_04_SEA_DET
KAN,2021-12-12,48,Sun,13,14,,LVR,W 48-9,48,9,39,57,2021,2021_14_KAN_LVR
TAM,2021-09-19,48,Sun,2,2,,ATL,W 48-25,48,25,23,73,2021,2021_02_TAM_ATL
BUF,2020-12-19,48,Sat,14,15,@,DEN,W 48-19,48,19,29,67,2020,2020_15_BUF_DEN
SFO,2019-12-08,48,Sun,13,14,@,NOR,W 48-46,48,46,2,94,2019,2019_14_SFO_NOR
LAR,2018-12-30,48,Sun,16,17,,SFO,W 48-32,48,32,16,80,2018,2018_17_LAR_SFO
NOR,2018-11-18,48,Sun,10,11,,PHI,W 48-7,48,7,41,55,2018,2018_11_NOR_PHI
CHI,2018-09-30,48,Sun,4,4,,TAM,W 48-10,48,10,38,58,2018,2018_04_CHI_TAM
NYJ,2018-09-10,48,Mon,1,1,@,DET,W 48-17,48,17,31,65,2018,2018_01_NYJ_DET
TAM,2018-09-09,48,Sun,1,1,@,NOR,W 48-40,48,40,8,88,2018,2018_01_TAM_NOR
LAC,2021-10-10,47,Sun,5,5,,CLE,W 47-42,47,42,5,89,2021,2021_05_LAC_CLE
TAM,2020-12-26,47,Sat,15,16,@,DET,W 47-7,47,7,40,54,2020,2020_16_TAM_DET
BAL,2020-12-14,47,Mon,13,14,@,CLE,W 47-42,47,42,5,89,2020,2020_14_BAL_CLE
DAL,2019-12-29,47,Sun,16,17,,WAS,W 47-16,47,16,31,63,2019,2019_17_DAL_WAS
BAL,2018-09-09,47,Sun,1,1,,BUF,W 47-3,47,3,44,50,2018,2018_01_BAL_BUF
NOR,2017-11-12,47,Sun,9,10,@,BUF,W 47-10,47,10,37,57,2017,2017_10_NOR_BUF
TEN,2020-12-20,46,Sun,14,15,,DET,W 46-25,46,25,21,71,2020,2020_15_TEN_DET
