Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
BAL,2021-01-03,54,Sun,16,17,@,CIN,W 38-3,54,404,7.5,2,2020,2020_17_BAL_CIN
CHI,2017-10-15,54,Sun,6,6,@,BAL,W 27-24 (OT),54,231,4.3,0,2017,2017_06_CHI_BAL
BAL,2018-11-18,53,Sun,10,11,,CIN,W 24-21,53,267,5.0,2,2018,2018_11_BAL_CIN
BUF,2017-12-10,51,Sun,13,14,,IND,W 13-7 (OT),51,227,4.5,1,2017,2017_14_BUF_IND
PHI,2022-10-02,50,Sun,4,4,,JAX,W 29-21,50,210,4.2,4,2022,2022_04_PHI_JAX
PHI,2021-11-21,50,Sun,11,11,,NOR,W 40-29,50,242,4.8,3,2021,2021_11_PHI_NOR
PHI,2022-11-27,49,Sun,11,12,,GNB,W 40-33,49,363,7.4,3,2022,2022_12_PHI_GNB
WAS,2022-11-14,49,Mon,10,10,@,PHI,W 32-21,49,152,3.1,2,2022,2022_10_WAS_PHI
BAL,2018-12-16,49,Sun,14,15,,TAM,W 20-12,49,242,4.9,1,2018,2018_15_BAL_TAM
BAL,2018-12-02,49,Sun,12,13,@,ATL,W 26-16,49,207,4.2,1,2018,2018_13_BAL_ATL
NYJ,2017-12-03,49,Sun,12,13,,KAN,W 38-31,49,157,3.2,3,2017,2017_13_NYJ_KAN
NOR,2022-10-09,48,Sun,5,5,,SEA,W 39-32,48,235,4.9,3,2022,2022_05_NOR_SEA
IND,2021-12-05,48,Sun,13,13,@,HOU,W 31-0,48,238,5.0,3,2021,2021_13_IND_HOU
BAL,2019-11-25,48,Mon,11,12,@,LAR,W 45-6,48,285,5.9,1,2019,2019_12_BAL_LAR
NOR,2017-11-12,48,Sun,9,10,@,BUF,W 47-10,48,298,6.2,6,2017,2017_10_NOR_BUF
NYG,2022-11-13,47,Sun,9,10,,HOU,W 24-16,47,191,4.1,1,2022,2022_10_NYG_HOU
CAR,2022-11-10,47,Thu,10,10,,ATL,W 25-15,47,232,4.9,2,2022,2022_10_CAR_ATL
CAR,2021-10-31,47,Sun,8,8,@,ATL,W 19-13,47,203,4.3,1,2021,2021_08_CAR_ATL
BAL,2020-11-01,47,Sun,7,8,,PIT,L 24-28,47,265,5.6,1,2020,2020_08_BAL_PIT
BUF,2019-11-24,47,Sun,11,12,,DEN,W 20-3,47,244,5.2,0,2019,2019_12_BUF_DEN
BAL,2018-12-30,47,Sun,16,17,,CLE,W 26-24,47,296,6.3,2,2018,2018_17_BAL_CLE
NWE,2018-12-23,47,Sun,15,16,,BUF,W 24-12,47,273,5.8,2,2018,2018_16_NWE_BUF
