Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
CIN,2021-01-03,54,Sun,16,17,,BAL,L 3-38,54,404,7.5,2,2020,2020_17_CIN_BAL
BAL,2017-10-15,54,Sun,6,6,,CHI,L 24-27 (OT),54,231,4.3,0,2017,2017_06_BAL_CHI
CIN,2018-11-18,53,Sun,10,11,@,BAL,L 21-24,53,267,5.0,2,2018,2018_11_CIN_BAL
IND,2017-12-10,51,Sun,13,14,@,BUF,L 7-13 (OT),51,227,4.5,1,2017,2017_14_IND_BUF
JAX,2022-10-02,50,Sun,4,4,@,PHI,L 21-29,50,210,4.2,4,2022,2022_04_JAX_PHI
NOR,2021-11-21,50,Sun,10,11,@,PHI,L 29-40,50,242,4.8,3,2021,2021_11_NOR_PHI
GNB,2022-11-27,49,Sun,12,12,@,PHI,L 33-40,49,363,7.4,3,2022,2022_12_GNB_PHI
PHI,2022-11-14,49,Mon,9,10,,WAS,L 21-32,49,152,3.1,2,2022,2022_10_PHI_WAS
TAM,2018-12-16,49,Sun,14,15,@,BAL,L 12-20,49,242,4.9,1,2018,2018_15_TAM_BAL
ATL,2018-12-02,49,Sun,12,13,,BAL,L 16-26,49,207,4.2,1,2018,2018_13_ATL_BAL
KAN,2017-12-03,49,Sun,12,13,@,NYJ,L 31-38,49,157,3.2,3,2017,2017_13_KAN_NYJ
SEA,2022-10-09,48,Sun,5,5,@,NOR,L 32-39,48,235,4.9,3,2022,2022_05_SEA_NOR
HOU,2021-12-05,48,Sun,12,13,,IND,L 0-31,48,238,5.0,3,2021,2021_13_HOU_IND
LAR,2019-11-25,48,Mon,11,12,,BAL,L 6-45,48,285,5.9,1,2019,2019_12_LAR_BAL
BUF,2017-11-12,48,Sun,9,10,,NOR,L 10-47,48,298,6.2,6,2017,2017_10_BUF_NOR
HOU,2022-11-13,47,Sun,9,10,@,NYG,L 16-24,47,191,4.1,1,2022,2022_10_HOU_NYG
ATL,2022-11-10,47,Thu,10,10,@,CAR,L 15-25,47,232,4.9,2,2022,2022_10_ATL_CAR
ATL,2021-10-31,47,Sun,7,8,,CAR,L 13-19,47,203,4.3,1,2021,2021_08_ATL_CAR
PIT,2020-11-01,47,Sun,7,8,@,BAL,W 28-24,47,265,5.6,1,2020,2020_08_PIT_BAL
DEN,2019-11-24,47,Sun,11,12,@,BUF,L 3-20,47,244,5.2,0,2019,2019_12_DEN_BUF
CLE,2018-12-30,47,Sun,16,17,@,BAL,L 24-26,47,296,6.3,2,2018,2018_17_CLE_BAL
BUF,2018-12-23,47,Sun,15,16,@,NWE,L 12-24,47,273,5.8,2,2018,2018_16_BUF_NWE
CIN,2018-11-11,47,Sun,9,10,,NOR,L 14-51,47,244,5.2,3,2018,2018_10_CIN_NOR
SEA,2022-12-11,46,Sun,13,14,,CAR,L 24-30,46,223,4.8,2,2022,2022_14_SEA_CAR
DEN,2022-11-27,46,Sun,11,12,@,CAR,L 10-23,46,185,4.0,1,2022,2022_12_DEN_CAR
ATL,2022-01-09,46,Sun,17,18,,NOR,L 20-30,46,195,4.2,0,2021,2021_18_ATL_NOR
BUF,2021-12-06,46,Mon,12,13,,NWE,L 10-14,46,222,4.8,1,2021,2021_13_BUF_NWE
BUF,2021-11-21,46,Sun,10,11,,IND,L 15-41,46,264,5.7,4,2021,2021_11_BUF_IND
DET,2021-10-31,46,Sun,8,8,,PHI,L 6-44,46,236,5.1,4,2021,2021_08_DET_PHI
BUF,2020-10-19,46,Mon,6,6,,KAN,L 17-26,46,245,5.3,1,2020,2020_06_BUF_KAN
MIA,2019-09-08,46,Sun,1,1,,BAL,L 10-59,46,265,5.8,2,2019,2019_01_MIA_BAL
NYJ,2018-11-11,46,Sun,10,10,,BUF,L 10-41,46,212,4.6,2,2018,2018_10_NYJ_BUF
IND,2017-12-14,46,Thu,14,15,,DEN,L 13-25,46,211,4.6,1,2017,2017_15_IND_DEN
BUF,2017-12-10,46,Sun,13,14,,IND,W 13-7 (OT),46,163,3.5,0,2017,2017_14_BUF_IND
CAR,2022-12-18,45,Sun,14,15,,PIT,L 16-24,45,156,3.5,3,2022,2022_15_CAR_PIT
HOU,2022-10-30,45,Sun,7,8,,TEN,L 10-17,45,314,7.0,2,2022,2022_08_HOU_TEN
NWE,2022-10-24,45,Mon,7,7,,CHI,L 14-33,45,243,5.4,2,2022,2022_07_NWE_CHI
SEA,2022-09-18,45,Sun,2,2,@,SFO,L 7-27,45,189,4.2,2,2022,2022_02_SEA_SFO
MIN,2021-11-07,45,Sun,8,9,@,BAL,L 31-34 (OT),45,247,5.5,1,2021,2021_09_MIN_BAL
MIN,2020-12-25,45,Fri,15,16,@,NOR,L 33-52,45,264,5.9,7,2020,2020_16_MIN_NOR
IND,2020-11-29,45,Sun,11,12,,TEN,L 26-45,45,229,5.1,4,2020,2020_12_IND_TEN
CLE,2020-11-01,45,Sun,8,8,,LVR,L 6-16,45,209,4.6,0,2020,2020_08_CLE_LVR
LAR,2019-12-15,45,Sun,14,15,@,DAL,L 21-44,45,263,5.8,3,2019,2019_15_LAR_DAL
KAN,2019-10-06,45,Sun,5,5,,IND,L 13-19,45,180,4.0,1,2019,2019_05_KAN_IND
NYG,2018-12-16,45,Sun,14,15,,TEN,L 0-17,45,215,4.8,2,2018,2018_15_NYG_TEN
SEA,2022-11-13,44,Sun,10,10,@,TAM,L 16-21,44,161,3.7,1,2022,2022_10_SEA_TAM
CIN,2022-10-31,44,Mon,8,8,@,CLE,L 13-32,44,172,3.9,3,2022,2022_08_CIN_CLE
CLE,2022-10-23,44,Sun,7,7,@,BAL,L 20-23,44,160,3.6,2,2022,2022_07_CLE_BAL
CHI,2022-10-02,44,Sun,4,4,@,NYG,L 12-20,44,262,6.0,2,2022,2022_04_CHI_NYG
ATL,2022-01-02,44,Sun,16,17,@,BUF,L 15-29,44,233,5.3,4,2021,2021_17_ATL_BUF
NYJ,2021-12-12,44,Sun,13,14,,NOR,L 9-30,44,203,4.6,3,2021,2021_14_NYJ_NOR
LAR,2021-11-15,44,Mon,10,10,@,SFO,L 10-31,44,156,3.5,1,2021,2021_10_LAR_SFO
DEN,2020-11-29,44,Sun,11,12,,NOR,L 3-31,44,229,5.2,4,2020,2020_12_DEN_NOR
KAN,2020-09-20,44,Sun,2,2,@,LAC,W 23-20 (OT),44,183,4.2,1,2020,2020_02_KAN_LAC
PIT,2019-12-29,44,Sun,16,17,@,BAL,L 10-28,44,223,5.1,1,2019,2019_17_PIT_BAL
CIN,2019-10-20,44,Sun,7,7,,JAX,L 17-27,44,216,4.9,0,2019,2019_07_CIN_JAX
WAS,2017-12-31,44,Sun,16,17,@,NYG,L 10-18,44,260,5.9,1,2017,2017_17_WAS_NYG
CLE,2017-11-19,44,Sun,10,11,,JAX,L 7-19,44,139,3.2,0,2017,2017_11_CLE_JAX
DET,2022-12-24,43,Sat,15,16,@,CAR,L 23-37,43,320,7.4,3,2022,2022_16_DET_CAR
MIN,2022-12-17,43,Sat,14,15,,IND,W 39-36 (OT),43,171,4.0,0,2022,2022_15_MIN_IND
NOR,2022-11-13,43,Sun,10,10,@,PIT,L 10-20,43,217,5.0,2,2022,2022_10_NOR_PIT
DAL,2022-10-30,43,Sun,8,8,,CHI,W 49-29,43,240,5.6,2,2022,2022_08_DAL_CHI
NWE,2022-01-09,43,Sun,17,18,@,MIA,L 24-33,43,195,4.5,1,2021,2021_18_NWE_MIA
SEA,2021-11-29,43,Mon,11,12,@,WAS,L 15-17,43,152,3.5,1,2021,2021_12_SEA_WAS
