Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,Season,game_id
MIA,2019-09-08,643,Sun,1,1,,BAL,L 10-59,643,0,2019,2019_01_MIA_BAL
HOU,2020-10-18,607,Sun,6,6,@,TEN,L 36-42 (OT),607,2,2020,2020_06_HOU_TEN
ATL,2019-10-06,592,Sun,5,5,@,HOU,L 32-53,592,1,2019,2019_05_ATL_HOU
DET,2020-12-26,588,Sat,15,16,,TAM,L 7-47,588,0,2020,2020_16_DET_TAM
MIN,2020-12-25,583,Fri,15,16,@,NOR,L 33-52,583,2,2020,2020_16_MIN_NOR
SEA,2022-11-27,576,Sun,11,12,,LVR,L 34-40 (OT),576,2,2022,2022_12_SEA_LVR
PHI,2018-12-09,576,Sun,13,14,@,DAL,L 23-29 (OT),576,3,2018,2018_14_PHI_DAL
CIN,2018-10-28,576,Sun,8,8,,TAM,W 37-34,576,4,2018,2018_08_CIN_TAM
BAL,2021-12-26,575,Sun,15,16,@,CIN,L 21-41,575,0,2021,2021_16_BAL_CIN
ARI,2020-10-25,572,Sun,7,7,,SEA,W 37-34 (OT),572,3,2020,2020_07_ARI_SEA
CAR,2021-10-17,571,Sun,6,6,,MIN,L 28-34 (OT),571,1,2021,2021_06_CAR_MIN
CIN,2019-09-15,571,Sun,2,2,,SFO,L 17-41,571,1,2019,2019_02_CIN_SFO
DET,2022-12-24,570,Sat,15,16,@,CAR,L 23-37,570,0,2022,2022_16_DET_CAR
ATL,2020-09-20,570,Sun,2,2,@,DAL,L 39-40,570,3,2020,2020_02_ATL_DAL
NWE,2021-10-17,567,Sun,6,6,,DAL,L 29-35 (OT),567,2,2021,2021_06_NWE_DAL
CLE,2020-10-04,566,Sun,4,4,@,DAL,W 49-38,566,3,2020,2020_04_CLE_DAL
CLE,2018-09-30,565,Sun,4,4,@,OAK,L 42-45 (OT),565,2,2018,2018_04_CLE_OAK
GNB,2019-10-06,563,Sun,5,5,@,DAL,W 34-24,563,3,2019,2019_05_GNB_DAL
MIA,2021-10-10,558,Sun,5,5,@,TAM,L 17-45,558,0,2021,2021_05_MIA_TAM
MIN,2018-09-27,556,Thu,4,4,@,LAR,L 31-38,556,0,2018,2018_04_MIN_LAR
DET,2022-10-02,555,Sun,4,4,,SEA,L 45-48,555,1,2022,2022_04_DET_SEA
NOR,2017-09-17,555,Sun,2,2,,NWE,L 20-36,555,0,2017,2017_02_NOR_NWE
PIT,2022-10-09,552,Sun,5,5,@,BUF,L 3-38,552,2,2022,2022_05_PIT_BUF
WAS,2019-12-22,552,Sun,15,16,,NYG,L 35-41 (OT),552,0,2019,2019_16_WAS_NYG
OAK,2019-12-08,552,Sun,13,14,,TEN,L 21-42,552,1,2019,2019_14_OAK_TEN
NYJ,2021-10-24,551,Sun,6,7,@,NWE,L 13-54,551,0,2021,2021_07_NYJ_NWE
CIN,2018-10-21,551,Sun,7,7,@,KAN,L 10-45,551,1,2018,2018_07_CIN_KAN
ARI,2019-12-01,549,Sun,12,13,,LAR,L 7-34,549,0,2019,2019_13_ARI_LAR
MIA,2017-11-13,548,Mon,9,10,@,CAR,L 21-45,548,0,2017,2017_10_MIA_CAR
BAL,2022-09-18,547,Sun,2,2,,MIA,L 38-42,547,2,2022,2022_02_BAL_MIA
LAR,2018-11-19,546,Mon,11,11,,KAN,W 54-51,546,5,2018,2018_11_LAR_KAN
PHI,2018-11-18,546,Sun,10,11,@,NOR,L 7-48,546,0,2018,2018_11_PHI_NOR
